Metric,AUC-ROC,AUC-PR,p-value
Clarity,0.5475,0.5185,-
n(σ%),0.5201,0.5001,-
NQC,0.5111,0.4939,-
AvgICTF,0.5492,0.5205,-
AvgIDF,0.5568,0.5295,-
MaxIDF,0.5380,0.5190,-
MaxSCQ,0.5353,0.5165,-
Simplified Clarity,0.5461,0.5198,-
SMV,0.5100,0.4931,-
WIG,0.5101,0.4957,-
L1 Logistic Regression,0.5910,0.5560,2.53e-14
L2 Logistic Regression,0.5840,0.5488,5.73e-12
E-Net,0.5866,0.5512,2.19e-13
No Penalty Logistic Regression,0.5914,0.5572,1.06e-12
BOLASSO,0.5910,0.5560,2.53e-14
LARS-Traps,0.5840,0.5488,5.73e-12
LARS-CV,0.5836,0.5486,9.41e-12
Random Forest,0.5523,0.5270,0.4455
