Metric,AUC-ROC,AUC-PR,p-value
Clarity,0.5007,0.5332,-
n(σ%),0.5454,0.5643,-
NQC,0.5348,0.5540,-
AvgICTF,0.5433,0.5742,-
AvgIDF,0.5505,0.5815,-
MaxIDF,0.5374,0.5745,-
MaxSCQ,0.5409,0.5737,-
Simplified Clarity,0.5374,0.5703,-
SMV,0.5368,0.5570,-
Transfer,0.5162,0.5511,-
WIG,0.5535,0.5766,-
L1 Logistic Regression,0.5867,0.6064,0.0454
L2 Logistic Regression,0.5714,0.5886,0.2652
E-Net,0.5756,0.5926,0.1711
No Penalty Logistic Regression,0.5895,0.6100,0.0312
BOLASSO,0.5867,0.6064,0.0454
LARS-Traps,0.5714,0.5886,0.2652
LARS-CV,0.5714,0.5886,0.2652
Random Forest,0.5517,0.5809,0.9169
