Metric,AUC-ROC,AUC-PR,p-value
Clarity,0.4380,0.4872,-
n(σ%),0.4516,0.4964,-
NQC,0.4372,0.4888,-
AvgICTF,0.5433,0.5742,-
AvgIDF,0.5505,0.5815,-
MaxIDF,0.5374,0.5745,-
MaxSCQ,0.5409,0.5737,-
Simplified Clarity,0.5374,0.5703,-
SMV,0.4447,0.4956,-
Transfer,0.5162,0.5511,-
WIG,0.4583,0.5097,-
L1 Logistic Regression,0.5928,0.6108,3.45e-05
L2 Logistic Regression,0.5741,0.5925,0.0043
E-Net,0.5876,0.6064,0.0008
No Penalty Logistic Regression,0.5875,0.6064,0.0010
BOLASSO,0.5928,0.6108,3.45e-05
LARS-Traps,0.5741,0.5925,0.0043
LARS-CV,0.5741,0.5925,0.0043
Random Forest,0.5673,0.5988,0.2473
