QPP_Feature,Stratum,QPP_Mean,BERT_AUC,LogReg_AUC,AUC_Improvement
WIG,Low,0.7968302630949234,0.7295292465728116,0.7319402874773677,0.0024110409045561276
WIG,Mid,1.2296478352124902,0.677612880014391,0.672881813275769,-0.004731066738622003
WIG,High,2.348631716574024,0.688748968535859,0.6646127076382162,-0.02413626089764276
NQC,Low,0.05213155014797715,0.7021879237012685,0.7052339295332554,0.0030460058319868866
NQC,Mid,0.074715219321548,0.7242007064577485,0.7173172719862332,-0.006883434471515293
NQC,High,0.12972502359538374,0.6470434821709609,0.619146544359009,-0.027896937811951905
SMV,Low,0.3155482886162251,0.7196484280136743,0.7206385085277689,0.000990080514094549
SMV,Mid,0.7628866434327819,0.6917719468739877,0.6864989381996185,-0.005273008674369195
SMV,High,3.0776635450378733,0.6701903506648377,0.6431933722462813,-0.026996978418556417
Clarity,Low,1.3181635541346428,0.698700033096753,0.7110009929025852,0.012300959805832234
Clarity,Mid,1.6707987320285207,0.7256911913291082,0.7050610820244329,-0.020630109304675348
Clarity,High,2.5375950177066766,0.6461635731382379,0.6257869304069006,-0.020376642731337324
nSigma,Low,0.18532730126879518,0.7173098330241187,0.7221706864564007,0.004860853432282042
nSigma,Mid,0.2887225021666162,0.7022414258709155,0.6927356197677559,-0.009505806103159653
nSigma,High,0.5482668262492512,0.6676616915422886,0.642203397427278,-0.02545829411501055
