feature,fn_mean,fn_std,fn_n,all_mean,all_std,all_n,tp_mean,tn_mean,fn_vs_all_pvalue,fn_vs_tp_pvalue,fn_vs_tn_pvalue,fn_vs_fn_pvalue,fn_vs_all_cohens_d,fn_vs_tp_cohens_d,fn_vs_tn_cohens_d,fn_vs_fn_cohens_d,fn_specific,fn_vs_others_significant
AvgICTF,10.346273548250037,1.7707491414462957,8498,10.06053055937338,1.7416099125760012,2002,9.711104926997512,10.378283122936487,0.0011000663278254664,3.5033908782980947e-13,0.013654726064622317,0.06404218552947148,0.07358243309937848,0.2716075348249485,-0.10641462242362092,-0.08801517879561767,False,True
AvgIDF,6.07522161097274,1.6648424604740788,8498,5.776774225698371,1.6470517912193912,2002,5.40496808141482,6.103200283604888,0.0007544258308449718,1.3392454218047844e-15,0.0038124286561693798,0.04024783955147917,0.07963060685480898,0.30376671540458444,-0.11689184399228446,-0.09981783251096255,False,True
Clarity,1.9651768550542938,0.6359371216479295,8498,1.8425331252242207,0.6033620670760981,2002,1.6737533048104198,1.9877582807516183,0.001104273723156843,8.880173790726523e-20,4.357485474558822e-05,0.016095700723924824,0.07482660076039663,0.3452945438101116,-0.1540536289782054,-0.11845853590423827,False,True
MaxIDF,12.31528567990349,3.658704530766022,8498,11.789794808705215,3.705139748570456,2002,11.070738160531342,12.471323125937966,0.06874311340348109,5.487174557965636e-08,0.004846527772403806,0.1026218434750564,0.04684692515437441,0.24203287759904255,-0.14013845525596613,-0.09688686840316933,False,True
MaxSCQ,77.50128138906727,6.361928552157089,8498,76.86598726283957,6.474377702363962,2002,75.77914670846097,77.88924306635718,0.10462173222152266,5.646179124267488e-07,0.023529415481364536,0.28710821501921524,0.03701080099577825,0.20634859812764808,-0.12471727811306109,-0.06282691735456944,False,True
NQC,0.09264135665813505,0.04220118108581914,8498,0.08554600948945533,0.04105315978391207,2002,0.07520971197588106,0.09448902068348086,0.0011874029499799239,2.6826096787326562e-18,0.00036406854658161574,0.040937685621500554,0.0673461908279614,0.3168177338640434,-0.14399704713532271,-0.10084532045038727,False,True
SClarity,8.561941270424933,1.7602298376391374,8498,8.273827867933282,1.7315345500915458,2002,7.954805477285353,8.546071543366901,0.00047257128810842294,2.6015178148402656e-12,0.07053154254984001,0.09046297296073752,0.08286452054471465,0.2646410408417285,-0.07226221201905789,-0.08106062508386801,False,True
SMV,1.6983441819817409,1.9900666031258258,8498,1.3862114624185753,2.2233095476933444,2002,0.9816446958369972,1.762201978664308,1.9266533391888846e-05,6.04177987989701e-22,0.006128659264390468,0.010301440756018328,0.05747232399495802,0.2668623297332082,-0.1246108041800931,-0.0976948351186878,False,True
WIG,1.6638864495129377,0.9045379645900139,8498,1.45881462449675,0.8591314475456654,2002,1.2716670291427319,1.6017441705026125,1.0717054096493302e-06,7.685273554066382e-21,0.10613216612557586,0.008435299100844463,0.10507636294654367,0.3153984001132007,-0.05374484212849406,-0.12229470066942161,False,True
nSigma,0.37582349960768985,0.18650609877730573,8498,0.3408758535594002,0.19107079618428807,2002,0.2959270806812713,0.38033268026754097,3.293062018933245e-05,1.0268050624100201e-18,0.03001524654493833,0.0247121495414459,0.07597313825741937,0.3212337859011814,-0.13331592936940426,-0.11085675351592285,False,True
