feature,fp_mean,fp_std,fp_n,all_mean,all_std,all_n,tp_mean,tn_mean,fn_mean,fp_vs_all_pvalue,fp_vs_tp_pvalue,fp_vs_tn_pvalue,fp_vs_fn_pvalue,fp_vs_all_cohens_d,fp_vs_tp_cohens_d,fp_vs_tn_cohens_d,fp_vs_fn_cohens_d,fp_specific,fp_vs_others_significant
AvgICTF,9.991896924033991,1.7271021905211679,7569,10.06053055937338,1.7416099125760012,2002,9.711104926997512,10.378283122936487,10.346273548250037,0.10431076892492674,1.4933516573160338e-05,3.718514872636424e-08,2.2729976081356087e-05,-0.03966927377301487,0.16288413421037926,-0.22408771969624944,-0.2049273947925967,False,True
AvgIDF,5.718072422101174,1.6328295642981607,7569,5.776774225698371,1.6470517912193912,2002,5.40496808141482,6.103200283604888,6.07522161097274,0.15242442561669894,3.445862137763958e-07,4.401903340552721e-09,1.1491667991015516e-05,-0.03588538146249486,0.19215239642384987,-0.23619759322198716,-0.21857388097431749,False,True
Clarity,1.8244880329188455,0.599452790491126,7569,1.8425331252242207,0.6033620670760981,2002,1.6737533048104198,1.9877582807516183,1.9651768550542938,0.09924275212924784,1.9621211243382568e-08,1.718609713407349e-11,4.6278117493541395e-06,-0.030061507151099252,0.2554822886558157,-0.2706717032677863,-0.23327244004718026,False,True
MaxIDF,11.67003385237893,3.681747727289137,7569,11.789794808705215,3.705139748570456,2002,11.070738160531342,12.471323125937966,12.31528567990349,0.12588034450603086,0.000795519295292758,1.2506207419468838e-06,0.0012026413404323398,-0.03248502171189711,0.16178420458266043,-0.21915709802708044,-0.1757514749002344,False,True
MaxSCQ,76.87562041256248,6.534131493869448,7569,76.86598726283957,6.474377702363962,2002,75.77914670846097,77.88924306635718,77.50128138906727,0.6931168874237859,2.752260772413172e-05,0.003283150336552152,0.09890937176581968,0.001477096013182438,0.16677697201484457,-0.1567779049677031,-0.09604527534660726,False,True
NQC,0.08485421421325244,0.039537543614671496,7569,0.08554600948945533,0.04105315978391207,2002,0.07520971197588106,0.09448902068348086,0.09264135665813505,0.6945580357620419,8.997225202806272e-11,7.1108545269106295e-09,0.00015789719914915677,-0.017355955714292572,0.24734388789604145,-0.24051770228391167,-0.1955847114629656,False,True
SClarity,8.200298113690646,1.7144010046405658,7569,8.273827867933282,1.7315345500915458,2002,7.954805477285353,8.546071543366901,8.561941270424933,0.08517791651324792,0.00011850909157467966,4.149422630466786e-07,2.415545784304232e-05,-0.04279967450798956,0.14337939674926883,-0.2019605713471924,-0.21063279738337812,False,True
SMV,1.2856992847193207,2.1438964015638686,7569,1.3862114624185753,2.2233095476933444,2002,0.9816446958369972,1.762201978664308,1.6983441819817409,0.11013816832344336,1.4983619792461276e-09,3.750091978956234e-10,5.20140304178112e-08,-0.04651739150568037,0.14514117084880174,-0.21422581015170733,-0.19249433778907024,False,True
WIG,1.3912553310797477,0.7861331589650841,7569,1.45881462449675,0.8591314475456654,2002,1.2716670291427319,1.6017441705026125,1.6638864495129377,0.012631121103989494,8.699408729688299e-07,1.0378968990529298e-09,4.1633885505722916e-10,-0.08424401508281461,0.15322399781354343,-0.26333835490943797,-0.34272929908253635,False,True
nSigma,0.33220290662350244,0.18283773110540244,7569,0.3408758535594002,0.19107079618428807,2002,0.2959270806812713,0.38033268026754097,0.37582349960768985,0.1641512971795549,4.859254897171842e-08,4.524169937084105e-08,6.11421079715927e-07,-0.046984989664725425,0.2008915877756887,-0.2585654994620529,-0.23785778651773787,False,True
