feature,fn_mean,fn_std,fn_n,all_mean,all_std,all_n,tp_mean,tn_mean,fn_vs_all_pvalue,fn_vs_tp_pvalue,fn_vs_tn_pvalue,fn_vs_fn_pvalue,fn_vs_all_cohens_d,fn_vs_tp_cohens_d,fn_vs_tn_cohens_d,fn_vs_fn_cohens_d,fn_specific,fn_vs_others_significant
AvgICTF,10.388785792052598,1.7755919691941324,8217,10.06053055937338,1.7416099125760012,2002,9.70560007731596,10.445669222441477,6.696433009119759e-05,2.901127410588266e-15,0.004451478961820515,0.05005561489790405,0.09195449296092184,0.29256896278730987,-0.12557544385924657,-0.09329781542089997,False,True
AvgIDF,6.125702334486874,1.6665886872265754,8217,5.776774225698371,1.6470517912193912,2002,5.396139096454065,6.173421696218093,1.4951199493736258e-05,1.1265071073676446e-18,0.0012352903778428171,0.03144332910760439,0.10439253692376074,0.3336222042226805,-0.13403926624037024,-0.10529561736929138,False,True
Clarity,2.0218942022157207,0.6496743089567474,8217,1.8425331252242207,0.6033620670760981,2002,1.6512314077073453,2.010562225112593,1.272936380598362e-06,1.777310727804782e-28,6.913963895621604e-05,0.0011461615782282818,0.11420751656911803,0.41579895403063066,-0.14587426677596563,-0.16300515984517017,False,True
MaxIDF,12.344369300064956,3.59817601501851,8217,11.789794808705215,3.705139748570456,2002,11.089084610140079,12.510735008993676,0.0684629872230689,9.963566957782435e-08,0.0018012880470103145,0.107256940583347,0.05441982978290605,0.24735713199615797,-0.146465688001267,-0.0996425897193503,False,True
MaxSCQ,77.71618394578947,6.209312705107412,8217,76.86598726283957,6.474377702363961,2002,75.71067975834231,77.88633222823479,0.045560329352180205,2.624785056632433e-08,0.03263143092655858,0.13804573402227457,0.05337087624062703,0.23712149796722407,-0.11117260784810158,-0.08329722846962975,False,True
NQC,0.09765644353928407,0.042849592043183594,8217,0.08554600948945536,0.04105315978391208,2002,0.07299068719917573,0.09665937108619234,1.5977930022912456e-08,2.63866340149467e-32,0.0016244612032310305,0.0008118767079711938,0.11725457887742784,0.41778345816501916,-0.1418578595647397,-0.16571758676997295,False,True
SClarity,8.607947729197043,1.7591655363666665,8217,8.273827867933282,1.7315345500915458,2002,7.946657725114209,8.620829587227183,1.7333804413941336e-05,1.0901875119910062e-14,0.02466142071700934,0.06577142327767672,0.10264631215510282,0.2890866433530549,-0.09509940866893084,-0.08764218402595293,False,True
SMV,1.8472293938347446,2.0671791666093227,8217,1.386211462418575,2.2233095476933444,2002,0.9212053581986737,1.8555713176789972,1.572515825845459e-10,2.78039783404991e-33,0.0108127852318166,0.0009650089747796013,0.09243814450180632,0.3265787273042785,-0.12754038400517043,-0.12858111796839097,False,True
WIG,1.7298862287194974,0.925556987190323,8217,1.4588146244967497,0.8591314475456654,2002,1.2469087698952905,1.64149824262616,5.7441413478252474e-12,1.0443550669030208e-30,0.15414255882052127,0.0013569062946378822,0.14685855532079123,0.38065814436320117,-0.05227966968083166,-0.1475827669021928,False,True
nSigma,0.393026853200725,0.19090617550689398,8217,0.3408758535594002,0.19107079618428807,2002,0.2888638302729478,0.39023078586886795,7.952449421807177e-11,3.318940171194364e-30,0.07041170848826328,0.0032582649935638556,0.12850150027342996,0.4076913559700846,-0.12794561794924156,-0.14438289349757155,False,True
