Metric,AUC-ROC,AUC-PR,p-value
Clarity,0.4380,0.4872,-
n(σ%),0.4516,0.4964,-
NQC,0.4372,0.4888,-
AvgICTF,0.5433,0.5742,-
AvgIDF,0.5505,0.5815,-
MaxIDF,0.5374,0.5745,-
MaxSCQ,0.5409,0.5737,-
Simplified Clarity,0.5374,0.5703,-
RoBERTa,0.7179,0.7320,-
SMV,0.4447,0.4956,-
WIG,0.4583,0.5097,-
L1 Logistic Regression,0.7180,0.7310,0.9603
L2 Logistic Regression,0.7165,0.7295,0.5040
E-Net,0.7171,0.7301,0.7045
No Penalty Logistic Regression,0.7138,0.7288,0.1509
BOLASSO,0.7180,0.7310,0.9603
LARS-Traps,0.7165,0.7295,0.5040
LARS-CV,0.7165,0.7295,0.5040
Random Forest,0.6775,0.6844,5.05e-07
