Score,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,N
clarity,0.0026467042197347163,0.9278803349691632,0.01427167484723577,0.6254882564028665,1172
wig,-0.008694367812544623,0.7662105979621486,-0.07806593849171876,0.007500237883513851,1172
nqc,-0.037715867850655116,0.19695879993478863,-0.09986334950723817,0.0006177847923535587,1172
smv,-0.0007629462380754553,0.9791845923095512,-0.08569205847754331,0.003325871216629608,1172
n_sigma_50,-0.023725441730668748,0.4170924830013759,-0.07243895564258737,0.013118964249001086,1172
avgidf,-0.013791127916770288,0.6371760623312808,-0.02645561679298976,0.36552559325093126,1172
avgictf,-0.009300954742004257,0.7504238681013244,-0.021071124269288283,0.47111296665308877,1172
maxidf,-0.026754748199300068,0.3601278606782667,-0.02660244716403452,0.3628698110912072,1172
maxscq,-0.028089335761341913,0.3366590714524668,-0.025632870932457644,0.3806301510418568,1172
simplified_clarity,-0.002629967914663849,0.9283351494754283,-0.014200359504027116,0.6272169442236939,1172
QPP Integrated,0.012884491162386706,0.6594725283338156,0.01595147270888089,0.5853804932960774,1172
