metric,condition,n_samples,error_rate,mean_qa_pairs,mean_integrated_score
clarity,High QPP,586,51.02389078498294,4.114334470989761,0.4964957023457169
clarity,Low QPP,586,47.098976109215016,4.17235494880546,0.5036774414376178
wig,High QPP,586,46.58703071672355,4.023890784982935,0.49901795516568626
wig,Low QPP,586,51.5358361774744,4.262798634812286,0.5011551886176484
nqc,High QPP,586,49.658703071672356,4.034129692832765,0.4944596910177035
nqc,Low QPP,586,48.4641638225256,4.252559726962457,0.5057134527656312
smv,High QPP,586,48.29351535836178,4.0,0.49874116199122803
smv,Low QPP,586,49.829351535836174,4.286689419795222,0.5014319817921068
n_sigma_50,High QPP,586,48.29351535836178,4.0563139931740615,0.49788619990941607
n_sigma_50,Low QPP,586,49.829351535836174,4.23037542662116,0.5022869438739187
avgidf,High QPP,586,52.218430034129696,4.092150170648464,0.4948841320074953
avgidf,Low QPP,586,45.90443686006826,4.194539249146757,0.5052890117758395
avgictf,High QPP,586,52.389078498293514,4.102389078498294,0.49488981587550523
avgictf,Low QPP,586,45.73378839590443,4.184300341296928,0.5052833279078296
maxidf,High QPP,586,53.07167235494881,4.117747440273037,0.49500482346336694
maxidf,Low QPP,586,45.051194539249146,4.1689419795221845,0.5051683203199678
maxscq,High QPP,586,48.97610921501707,4.040955631399317,0.49956426420021516
maxscq,Low QPP,586,49.14675767918089,4.2457337883959045,0.5006088795831195
simplified_clarity,High QPP,586,52.04778156996587,4.098976109215017,0.4958383506154082
simplified_clarity,Low QPP,586,46.075085324232084,4.187713310580205,0.5043347931679266
