qa_pairs_category,percentage,count,total,method
4+ QA pairs,30.83475298126065,181,587,QPP
1 QA pair,20.602409638554217,171,830,QPP
3 QA pairs,31.382978723404253,59,188,QPP
2 QA pairs,22.670025188916874,90,397,QPP
4+ QA pairs,24.190800681431003,142,587,BERT
1 QA pair,23.25301204819277,193,830,BERT
3 QA pairs,28.191489361702125,53,188,BERT
2 QA pairs,28.463476070528966,113,397,BERT
4+ QA pairs,25.55366269165247,150,587,Integrated
1 QA pair,25.180722891566266,209,830,Integrated
3 QA pairs,23.404255319148938,44,188,Integrated
2 QA pairs,24.68513853904282,98,397,Integrated
