Metric,AUC-ROC,AUC-PR,p-value
bert_logit_clarification,0.6838,0.6619,-
clarity,0.5475,0.5185,-
n_sigma_50,0.5201,0.5001,-
nqc,0.5111,0.4939,-
roberta_logit_clarification,0.6768,0.6470,-
smv,0.5100,0.4931,-
wig,0.5101,0.4957,-
L1 Logistic Regression,0.6969,0.6732,1.66e-12
L2 Logistic Regression,0.6969,0.6730,2.49e-12
E-Net,0.6969,0.6732,1.76e-12
No Penalty Logistic Regression,0.6966,0.6726,1.65e-11
BOLASSO,0.6969,0.6732,1.69e-12
LARS-Traps,0.6969,0.6730,2.49e-12
LARS-CV,0.6971,0.6734,1.01e-12
Random Forest,0.6683,0.6372,6.70e-06
