bootstrap_id,feature_combination,metric_name,value
0,regression,auc,0.6446470742587247
0,regression,ap,0.5655716377889167
0,regression,f1,0.5483146067415731
0,regression,accuracy,0.599601593625498
1,regression,auc,0.695729681549307
1,regression,ap,0.6457546726604219
1,regression,f1,0.5768421052631579
1,regression,accuracy,0.599601593625498
2,regression,auc,0.6633112015420861
2,regression,ap,0.5514224087901688
2,regression,f1,0.5506607929515418
2,regression,accuracy,0.5936254980079682
3,regression,auc,0.6786266924564797
3,regression,ap,0.6021828022353802
3,regression,f1,0.5774946921443737
3,regression,accuracy,0.603585657370518
4,regression,auc,0.7131622516556292
4,regression,ap,0.6367724806807382
4,regression,f1,0.6102449888641426
4,regression,accuracy,0.651394422310757
5,regression,auc,0.6716791575138907
5,regression,ap,0.6249560640221086
5,regression,f1,0.5757575757575758
5,regression,accuracy,0.6095617529880478
6,regression,auc,0.6501792803175823
6,regression,ap,0.6111461699023448
6,regression,f1,0.5814432989690722
6,regression,accuracy,0.5956175298804781
7,regression,auc,0.6666826984737719
7,regression,ap,0.626420916230991
7,regression,f1,0.5991735537190083
7,regression,accuracy,0.6135458167330677
8,regression,auc,0.6745703475695781
8,regression,ap,0.6416710105290213
8,regression,f1,0.5896907216494846
8,regression,accuracy,0.603585657370518
9,regression,auc,0.6732914248871695
9,regression,ap,0.6324264458645232
9,regression,f1,0.6016260162601627
9,regression,accuracy,0.6095617529880478
10,regression,auc,0.6849424110986565
10,regression,ap,0.6420103251027935
10,regression,f1,0.6046511627906976
10,regression,accuracy,0.6274900398406374
11,regression,auc,0.6430823680823681
11,regression,ap,0.5784967335375314
11,regression,f1,0.5792811839323467
11,regression,accuracy,0.603585657370518
12,regression,auc,0.6530543692115744
12,regression,ap,0.5982092713846605
12,regression,f1,0.624
12,regression,accuracy,0.6254980079681275
13,regression,auc,0.6469272844272844
13,regression,ap,0.5876739331252613
13,regression,f1,0.6212424849699398
13,regression,accuracy,0.6235059760956175
14,regression,auc,0.6716085038106698
14,regression,ap,0.6072519080481553
14,regression,f1,0.6109979633401222
14,regression,accuracy,0.6195219123505976
15,regression,auc,0.6703004077556793
15,regression,ap,0.5946464424591582
15,regression,f1,0.5594405594405595
15,regression,accuracy,0.6235059760956175
16,regression,auc,0.678189827793352
16,regression,ap,0.6364801176399386
16,regression,f1,0.6092436974789915
16,regression,accuracy,0.6294820717131474
17,regression,auc,0.6786729079412006
17,regression,ap,0.6080494133617991
17,regression,f1,0.579520697167756
17,regression,accuracy,0.6155378486055777
18,regression,auc,0.6908731649166354
18,regression,ap,0.6348991966755148
18,regression,f1,0.5995717344753747
18,regression,accuracy,0.6274900398406374
19,regression,auc,0.68502331002331
