Metric,AUC-ROC,AUC-PR,p-value
bert_logit_clarification,0.6839,0.6620,-
pre_avgictf,0.5501,0.5210,-
pre_avgidf,0.5576,0.5302,-
pre_maxidf,0.5388,0.5207,-
pre_maxscq,0.5349,0.5153,-
pre_simplified_clarity,0.5470,0.5204,-
roberta_logit_clarification,0.6769,0.6473,-
L1 Logistic Regression,0.6952,0.6710,0.00e+00
L2 Logistic Regression,0.6953,0.6711,0.00e+00
E-Net,0.6953,0.6711,0.00e+00
No Penalty Logistic Regression,0.6958,0.6713,0.00e+00
BOLASSO,0.6952,0.6710,0.00e+00
LARS-Traps,0.6953,0.6711,0.00e+00
LARS-CV,0.6953,0.6711,0.00e+00
Random Forest,0.6622,0.6338,0.00e+00
