bootstrap_id,feature_combination,metric_name,value
0,regression,auc,0.5667522042373996
0,regression,ap,0.4930891644472249
0,regression,f1,0.46766169154228854
0,regression,accuracy,0.5737051792828686
1,regression,auc,0.5601924331376386
1,regression,ap,0.4832303777309861
1,regression,f1,0.4930875576036866
1,regression,accuracy,0.5617529880478087
2,regression,auc,0.5907227928058247
2,regression,ap,0.5627314235653499
2,regression,f1,0.517162471395881
2,regression,accuracy,0.5796812749003984
3,regression,auc,0.5881166360535293
3,regression,ap,0.5038389165984868
3,regression,f1,0.5
3,regression,accuracy,0.5697211155378487
4,regression,auc,0.591724612962477
4,regression,ap,0.5135397265115044
4,regression,f1,0.5024390243902439
4,regression,accuracy,0.5936254980079682
5,regression,auc,0.5773175955298626
5,regression,ap,0.5463743388245292
5,regression,f1,0.5124716553287982
5,regression,accuracy,0.5717131474103586
6,regression,auc,0.5633735731296707
6,regression,ap,0.44902839320335
6,regression,f1,0.5
6,regression,accuracy,0.5617529880478087
7,regression,auc,0.5810843085741582
7,regression,ap,0.5685437011043186
7,regression,f1,0.5106382978723404
7,regression,accuracy,0.5418326693227091
8,regression,auc,0.5420711176808738
8,regression,ap,0.48361579770468366
8,regression,f1,0.4444444444444444
8,regression,accuracy,0.5219123505976095
9,regression,auc,0.6011826437285768
9,regression,ap,0.546853371642999
9,regression,f1,0.5181818181818182
9,regression,accuracy,0.5776892430278885
10,regression,auc,0.5851659076122316
10,regression,ap,0.5052959252623639
10,regression,f1,0.5219298245614035
10,regression,accuracy,0.5657370517928287
11,regression,auc,0.5515538444043732
11,regression,ap,0.4784114503378019
11,regression,f1,0.47706422018348627
11,regression,accuracy,0.545816733067729
12,regression,auc,0.5859492747751398
12,regression,ap,0.5020024867961232
12,regression,f1,0.5307017543859649
12,regression,accuracy,0.5737051792828686
13,regression,auc,0.5364963503649635
13,regression,ap,0.4965565278466792
13,regression,f1,0.5067264573991032
13,regression,accuracy,0.5617529880478087
14,regression,auc,0.5591484687944178
14,regression,ap,0.49790160364374414
14,regression,f1,0.5193621867881549
14,regression,accuracy,0.5796812749003984
15,regression,auc,0.6032336528831019
15,regression,ap,0.5748162518995494
15,regression,f1,0.5377777777777778
15,regression,accuracy,0.5856573705179283
16,regression,auc,0.5419864308753197
16,regression,ap,0.545840360148848
16,regression,f1,0.5083333333333333
16,regression,accuracy,0.5298804780876494
17,regression,auc,0.572712457847266
17,regression,ap,0.49507482889692833
17,regression,f1,0.5144124168514412
17,regression,accuracy,0.5637450199203188
18,regression,auc,0.5632931882931883
18,regression,ap,0.4824228459625466
18,regression,f1,0.5057471264367817
18,regression,accuracy,0.5717131474103586
19,regression,auc,0.5659995138157361
19,regression,ap,0.49026005643758774
19,regression,f1,0.4834123222748815
19,regression,accuracy,0.5657370517928287
20,regression,auc,0.5762174591442885
20,regression,ap,0.4902827208070436
20,regression,f1,0.5023255813953489
20,regression,accuracy,0.5737051792828686
21,regression,auc,0.5589527323844667
21,regression,ap,0.5346216208489936
21,regression,f1,0.5158562367864693
21,regression,accuracy,0.5438247011952191
22,regression,auc,0.5461315218777905
22,regression,ap,0.49591106400630547
22,regression,f1,0.4967032967032967
22,regression,accuracy,0.5438247011952191
23,regression,auc,0.5344189016602809
23,regression,ap,0.47367752256373913
23,regression,f1,0.5010706638115632
23,regression,accuracy,0.5358565737051793
24,regression,auc,0.6221017474224309
24,regression,ap,0.5845097027509306
24,regression,f1,0.5557986870897156
24,regression,accuracy,0.5956175298804781
25,regression,auc,0.5981243431158542
25,regression,ap,0.5223376292451075
25,regression,f1,0.5348837209302325
25,regression,accuracy,0.601593625498008
26,regression,auc,0.5996397975077882
26,regression,ap,0.5292683646123375
26,regression,f1,0.5045871559633027
26,regression,accuracy,0.5697211155378487
27,regression,auc,0.6183411119299107
27,regression,ap,0.5310180791213676
27,regression,f1,0.5339578454332553
27,regression,accuracy,0.603585657370518
28,regression,auc,0.5763274336283185
28,regression,ap,0.5195875264282683
28,regression,f1,0.49884526558891457
28,regression,accuracy,0.5677290836653387
29,regression,auc,0.605718694247553
29,regression,ap,0.5480180229900399
29,regression,f1,0.5690021231422505
29,regression,accuracy,0.5956175298804781
30,regression,auc,0.5670804965959151
30,regression,ap,0.5283423765180411
30,regression,f1,0.5405405405405406
30,regression,accuracy,0.5597609561752988
31,regression,auc,0.6045696802210817
31,regression,ap,0.5238273494899424
31,regression,f1,0.5118483412322274
31,regression,accuracy,0.5896414342629482
32,regression,auc,0.49952107279693486
32,regression,ap,0.47733694079019207
32,regression,f1,0.45146726862302483
32,regression,accuracy,0.5159362549800797
33,regression,auc,0.580736683285227
33,regression,ap,0.46434522508881093
33,regression,f1,0.5142857142857142
33,regression,accuracy,0.5936254980079682
34,regression,auc,0.5498824319785018
34,regression,ap,0.5147366119000407
34,regression,f1,0.5044642857142857
34,regression,accuracy,0.5577689243027888
35,regression,auc,0.6082788251891753
35,regression,ap,0.5530244895954575
35,regression,f1,0.5466377440347071
35,regression,accuracy,0.5836653386454184
36,regression,auc,0.5215616596235113
36,regression,ap,0.49537361886184683
36,regression,f1,0.47186147186147187
36,regression,accuracy,0.5139442231075697
37,regression,auc,0.5429390400807804
37,regression,ap,0.4787491993392407
37,regression,f1,0.46445497630331756
37,regression,accuracy,0.549800796812749
38,regression,auc,0.5755556269270298
38,regression,ap,0.5513875174516334
38,regression,f1,0.5
38,regression,accuracy,0.5577689243027888
39,regression,auc,0.5852648079722316
39,regression,ap,0.5249496076712605
39,regression,f1,0.5377777777777778
39,regression,accuracy,0.5856573705179283
40,regression,auc,0.5760027291778351
40,regression,ap,0.5124829187587987
40,regression,f1,0.5180180180180181
40,regression,accuracy,0.5737051792828686
41,regression,auc,0.5598632609702721
41,regression,ap,0.5265583730536136
41,regression,f1,0.4988962472406181
41,regression,accuracy,0.547808764940239
42,regression,auc,0.5668366038219829
42,regression,ap,0.5332393823417149
42,regression,f1,0.5043478260869565
42,regression,accuracy,0.545816733067729
43,regression,auc,0.5786709917780062
43,regression,ap,0.5236533875969978
43,regression,f1,0.5267857142857143
43,regression,accuracy,0.5776892430278885
44,regression,auc,0.5621265098537825
44,regression,ap,0.5644595964101267
44,regression,f1,0.5278350515463918
44,regression,accuracy,0.5438247011952191
45,regression,auc,0.5759414059390175
45,regression,ap,0.5647329718885787
45,regression,f1,0.5033112582781457
45,regression,accuracy,0.5517928286852589
46,regression,auc,0.5983639554918601
46,regression,ap,0.5403282574847665
46,regression,f1,0.5046296296296297
46,regression,accuracy,0.5737051792828686
47,regression,auc,0.5549651117715467
47,regression,ap,0.48840456650126224
47,regression,f1,0.509090909090909
47,regression,accuracy,0.5697211155378487
48,regression,auc,0.5785718866230601
48,regression,ap,0.5300275412298366
48,regression,f1,0.543046357615894
48,regression,accuracy,0.5876494023904383
49,regression,auc,0.6053422848688292
49,regression,ap,0.5713456901443982
49,regression,f1,0.5572354211663066
49,regression,accuracy,0.5916334661354582
50,regression,auc,0.5838392296420347
50,regression,ap,0.5018327061552106
50,regression,f1,0.5080831408775982
50,regression,accuracy,0.5756972111553785
51,regression,auc,0.5690559440559441
51,regression,ap,0.49541359181356015
51,regression,f1,0.5112107623318386
51,regression,accuracy,0.5657370517928287
52,regression,auc,0.588720525079005
52,regression,ap,0.5244657008410454
52,regression,f1,0.5113122171945701
52,regression,accuracy,0.5697211155378487
53,regression,auc,0.5749390903076947
53,regression,ap,0.5512507964544984
53,regression,f1,0.47642679900744417
53,regression,accuracy,0.5796812749003984
54,regression,auc,0.5926157496473002
54,regression,ap,0.5417764291676763
54,regression,f1,0.5330396475770925
54,regression,accuracy,0.5776892430278885
55,regression,auc,0.564726111520511
55,regression,ap,0.49791100649106224
55,regression,f1,0.4940047961630695
55,regression,accuracy,0.5796812749003984
56,regression,auc,0.5435185185185185
56,regression,ap,0.5043367277825365
56,regression,f1,0.5121412803532008
56,regression,accuracy,0.5597609561752988
57,regression,auc,0.6029997430626927
57,regression,ap,0.5325726929123519
57,regression,f1,0.5422222222222223
57,regression,accuracy,0.5896414342629482
58,regression,auc,0.5670076726342711
58,regression,ap,0.5102748531813699
58,regression,f1,0.49777777777777776
58,regression,accuracy,0.549800796812749
59,regression,auc,0.5858073744437381
59,regression,ap,0.5771324884723443
59,regression,f1,0.5515789473684211
59,regression,accuracy,0.5756972111553785
60,regression,auc,0.5686564736499675
