Metric,AUC-ROC,AUC-PR,p-value
clarity,0.5475,0.5185,-
n_sigma_50,0.5201,0.5001,-
nqc,0.5111,0.4939,-
pre_avgictf,0.5500,0.5217,-
pre_avgidf,0.5576,0.5312,-
pre_maxidf,0.5390,0.5198,-
pre_maxscq,0.5359,0.5158,-
pre_simplified_clarity,0.5469,0.5214,-
smv,0.5100,0.4931,-
transfer_logit_clarification,0.5306,0.5081,-
wig,0.5101,0.4957,-
L1 Logistic Regression,0.5947,0.5595,1.33e-15
L2 Logistic Regression,0.5887,0.5521,2.08e-13
E-Net,0.5908,0.5543,1.18e-14
No Penalty Logistic Regression,0.5952,0.5606,4.73e-14
BOLASSO,0.5947,0.5595,1.33e-15
LARS-Traps,0.5887,0.5521,2.08e-13
LARS-CV,0.5881,0.5516,4.56e-13
Random Forest,0.5573,0.5339,0.9609
