bootstrap_id,feature_combination,metric_name,value
0,regression,auc,0.608558902020587
0,regression,ap,0.5912738689670629
0,regression,f1,0.5841392649903289
0,regression,accuracy,0.5717131474103586
1,regression,auc,0.6288947326480196
1,regression,ap,0.5871983859788644
1,regression,f1,0.598019801980198
1,regression,accuracy,0.5956175298804781
2,regression,auc,0.6581408271810748
2,regression,ap,0.6462050970627743
2,regression,f1,0.606425702811245
2,regression,accuracy,0.6095617529880478
3,regression,auc,0.6351010301423787
3,regression,ap,0.6333505412061994
3,regression,f1,0.6085271317829457
3,regression,accuracy,0.5976095617529881
4,regression,auc,0.595853927731657
4,regression,ap,0.6423503204740293
4,regression,f1,0.5845588235294118
4,regression,accuracy,0.549800796812749
5,regression,auc,0.6180294299728559
5,regression,ap,0.6156874123681012
5,regression,f1,0.58203125
5,regression,accuracy,0.5737051792828686
6,regression,auc,0.6577940125466529
6,regression,ap,0.6393000486908391
6,regression,f1,0.6301369863013698
6,regression,accuracy,0.6235059760956175
7,regression,auc,0.6578408495642649
7,regression,ap,0.6339563533321211
7,regression,f1,0.6208251473477406
7,regression,accuracy,0.6155378486055777
8,regression,auc,0.6576247274592791
8,regression,ap,0.5786910527998447
8,regression,f1,0.6078028747433265
8,regression,accuracy,0.6195219123505976
9,regression,auc,0.6344603174603175
9,regression,ap,0.6235974328054079
9,regression,f1,0.6026871401151631
9,regression,accuracy,0.5876494023904383
10,regression,auc,0.6889446278892557
10,regression,ap,0.6999924940832039
10,regression,f1,0.6459143968871596
10,regression,accuracy,0.6374501992031872
11,regression,auc,0.6400246625129803
11,regression,ap,0.7218054634586026
11,regression,f1,0.6525573192239859
11,regression,accuracy,0.6075697211155379
12,regression,auc,0.6381111111111111
12,regression,ap,0.647718036899565
12,regression,f1,0.6115384615384616
12,regression,accuracy,0.5976095617529881
13,regression,auc,0.6524475524475525
13,regression,ap,0.6185627704316023
13,regression,f1,0.6052104208416834
13,regression,accuracy,0.6075697211155379
14,regression,auc,0.6743019508865502
14,regression,ap,0.6458183127043022
14,regression,f1,0.6431372549019608
14,regression,accuracy,0.6374501992031872
15,regression,auc,0.6682433612164886
15,regression,ap,0.6684332557697593
15,regression,f1,0.6055776892430279
15,regression,accuracy,0.6055776892430279
16,regression,auc,0.6202863577863578
16,regression,ap,0.6053735426319664
16,regression,f1,0.5369978858350951
16,regression,accuracy,0.5637450199203188
17,regression,auc,0.598174461577673
17,regression,ap,0.6261271959509068
17,regression,f1,0.5849056603773585
17,regression,accuracy,0.5617529880478087
18,regression,auc,0.6374460248920497
18,regression,ap,0.6389893247628845
18,regression,f1,0.6085271317829457
18,regression,accuracy,0.5976095617529881
19,regression,auc,0.635346471710108
19,regression,ap,0.6304568348076647
19,regression,f1,0.5903614457831325
