Metric,AUC-ROC,AUC-PR,p-value
Clarity,0.4380,0.4872,-
n(σ%),0.4516,0.4964,-
NQC,0.4372,0.4888,-
AvgICTF,0.5433,0.5742,-
AvgIDF,0.5505,0.5815,-
MaxIDF,0.5374,0.5745,-
MaxSCQ,0.5409,0.5737,-
Simplified Clarity,0.5374,0.5703,-
SMV,0.4447,0.4956,-
WIG,0.4583,0.5097,-
L1 Logistic Regression,0.5862,0.5993,0.0011
L2 Logistic Regression,0.5859,0.5986,0.0011
E-Net,0.5860,0.5989,0.0011
No Penalty Logistic Regression,0.5860,0.5990,0.0012
BOLASSO,0.5922,0.6054,1.75e-05
LARS-Traps,0.5734,0.5877,0.0009
LARS-CV,0.5734,0.5877,0.0009
Random Forest,0.5621,0.5924,0.4352
