QPP_Feature,Stratum,QPP_Mean,BERT_AUC,LogReg_AUC,AUC_Improvement
WIG,Low,1.531863395999754,0.6886273448773449,0.6885732323232323,-5.41125541125842e-05
WIG,Mid,2.1052827984353772,0.6953808531835884,0.693777737523775,-0.0016031156598134144
WIG,High,3.022509630168983,0.7019847328244274,0.6749664584779088,-0.0270182743465186
NQC,Low,0.014456490451212303,0.6908731229206007,0.6974462728171926,0.006573149896591968
NQC,Mid,0.02029779557993164,0.686866485013624,0.675322434150772,-0.01154405086285204
NQC,High,0.029234569241179256,0.7124823919661926,0.6929431544508565,-0.01953923751533604
SMV,Low,1.202057432491108,0.6924025564857323,0.696705374021064,0.004302817535331682
SMV,Mid,2.361865757991306,0.6901271217308953,0.6781798645006192,-0.01194725723027612
SMV,High,5.045158794912696,0.7081225445960604,0.6889806484545198,-0.019141896141540604
Clarity,Low,1.0989594072943787,0.7273515857956085,0.7261227071473751,-0.0012288786482334002
Clarity,Mid,1.2264441548875498,0.6853384543257962,0.6654675610371813,-0.01987089328861491
Clarity,High,1.3566022952902872,0.6830697288123353,0.6857870219911169,0.0027172931787815546
nSigma,Low,0.35800693688159774,0.6809804345476165,0.6922044463661586,0.011224011818542157
nSigma,Mid,0.5144104899010331,0.7057257843226927,0.6892344278788988,-0.01649135644379396
nSigma,High,0.7498752001590875,0.7030448543053586,0.6789079268070864,-0.02413692749827212
