feature,high_roberta_acc,high_logreg_acc,high_improvement,high_better,high_n,low_roberta_acc,low_logreg_acc,low_improvement,low_better,low_n,median_threshold
AvgICTF,0.6283716283716284,0.5014985014985015,-0.1268731268731269,RoBERTa,1001,0.6553446553446554,0.5674325674325674,-0.08791208791208793,RoBERTa,1001,9.95432750257056
AvgIDF,0.6313686313686314,0.5004995004995005,-0.13086913086913088,RoBERTa,1001,0.6523476523476524,0.5684315684315684,-0.08391608391608396,RoBERTa,1001,5.631463853256426
Clarity,0.6363636363636364,0.5294705294705294,-0.10689310689310694,RoBERTa,1001,0.6473526473526473,0.5394605394605395,-0.10789210789210779,RoBERTa,1001,1.2257317360279534
MaxIDF,0.6453382084095064,0.4936014625228519,-0.15173674588665448,RoBERTa,1094,0.6376651982378855,0.5837004405286343,-0.05396475770925113,RoBERTa,908,12.612267201812031
MaxSCQ,0.6287425149700598,0.500998003992016,-0.12774451097804385,RoBERTa,1002,0.655,0.568,-0.08700000000000008,RoBERTa,1000,79.287645844699
NQC,0.6573426573426573,0.5654345654345654,-0.0919080919080919,RoBERTa,1001,0.6263736263736264,0.5034965034965035,-0.12287712287712282,RoBERTa,1001,0.02032507318546585
SClarity,0.6313686313686314,0.5044955044955045,-0.1268731268731269,RoBERTa,1001,0.6523476523476524,0.5644355644355644,-0.08791208791208793,RoBERTa,1001,8.119570995849369
SMV,0.6513486513486514,0.5644355644355644,-0.08691308691308697,RoBERTa,1001,0.6323676323676324,0.5044955044955045,-0.12787212787212787,RoBERTa,1001,2.3195650338401057
WIG,0.6493506493506493,0.5694305694305695,-0.07992007992007988,RoBERTa,1001,0.6343656343656343,0.4995004995004995,-0.1348651348651348,RoBERTa,1001,2.0855027770996095
nSigma,0.6563436563436563,0.5654345654345654,-0.09090909090909094,RoBERTa,1001,0.6273726273726273,0.5034965034965035,-0.12387612387612379,RoBERTa,1001,0.5116593887111442
