feature,all_mean,all_std,weak_all_mean,weak_all_std,weak_improved_mean,weak_improved_std,weak_not_improved_mean,weak_not_improved_std,p_weak_vs_all,p_improved_vs_not,cohens_d_weak_vs_all,cohens_d_improved_vs_not
AvgICTF,10.06053055937338,1.7416099125760012,10.12101534943209,1.7796300142045791,10.318353282409857,1.955330400003629,10.06836865706523,1.7277971161868464,0.35067223810840387,0.1855810154229255,0.0345290116821467,0.14060299726244074
AvgIDF,5.776774225698371,1.6470517912193912,5.851036033889169,1.6701626367454658,6.072239604291458,1.8345313037115651,5.792022360513293,1.6201474018136686,0.2726183674499546,0.12926354304272925,0.04492076022043641,0.16805545720348375
Clarity,1.2273998547598692,0.1201846865975049,1.2340356475206653,0.12092402710344326,1.2188396836269524,0.12205155492271386,1.2380896944251718,0.1204059354904468,0.30373959533275596,0.14909919469970537,0.05512373168134935,-0.1594163799951729
MaxIDF,11.789794808705215,3.705139748570456,11.890815916008142,3.661031805562089,12.146797687645961,3.640597734613565,11.822523959263775,3.666647371873052,0.5931332696252438,0.3015175028116387,0.02735055294085741,0.08857039368340755
MaxSCQ,76.86598726283957,6.474377702363962,77.0244970630845,6.536751807699406,77.32013683137599,6.790389654905847,76.94562496942369,6.471301569717506,0.40995920996553636,0.2700092114854522,0.02442041289787572,0.057268893118435284
NQC,0.021333566950989383,0.006958382263272638,0.021048954440774533,0.006791762653563267,0.01959431227828841,0.006253894323438947,0.021437030353381258,0.0068815827904022235,0.37432112498402426,0.0009821385905518442,-0.04115952818143095,-0.2728038463223193
SClarity,8.273827867933282,1.7315345500915458,8.344196074076947,1.7680997655771005,8.554603410305248,1.9228330706485837,8.288062668122047,1.7219463783094686,0.32001100499501045,0.16993623741063957,0.04041258311639417,0.15093030329697035
SMV,2.87078064088584,1.9941352084234505,2.7805766469916726,1.8878607621636632,2.393565654916318,1.6087368451810276,2.883825162545346,1.9438952902082183,0.3326199291088838,0.0009076041418341394,-0.045865975186048916,-0.2609782589636194
WIG,2.220286186134422,0.7147784993372237,2.1948067028519165,0.689153746804708,2.0406660279532924,0.6162442255330994,2.235929038381408,0.7021378369495818,0.5302140983851369,0.0011865814824601549,-0.0359820905122759,-0.2850506985548178
nSigma,0.5408686600251174,0.18406910133650145,0.5327853963393856,0.17956392603846233,0.4913207425502638,0.1634314355519773,0.5438475212901936,0.18217360145373895,0.3523201276844965,0.0008042939411037528,-0.04419676855261059,-0.2944244353250458
