feature,high_roberta_acc,high_logreg_acc,high_improvement,high_better,high_n,low_roberta_acc,low_logreg_acc,low_improvement,low_better,low_n,median_threshold
AvgICTF,0.6283716283716284,0.5014985014985015,-0.1268731268731269,RoBERTa,1001,0.6553446553446554,0.5674325674325674,-0.08791208791208793,RoBERTa,1001,9.95432750257056
AvgIDF,0.6313686313686314,0.5004995004995005,-0.13086913086913088,RoBERTa,1001,0.6523476523476524,0.5684315684315684,-0.08391608391608396,RoBERTa,1001,5.631463853256426
Clarity,0.6173826173826173,0.4905094905094905,-0.12687312687312685,RoBERTa,1001,0.6663336663336663,0.5784215784215784,-0.08791208791208793,RoBERTa,1001,1.652780203661698
MaxIDF,0.6453382084095064,0.4936014625228519,-0.15173674588665448,RoBERTa,1094,0.6376651982378855,0.5837004405286343,-0.05396475770925113,RoBERTa,908,12.612267201812031
MaxSCQ,0.6287425149700598,0.500998003992016,-0.12774451097804385,RoBERTa,1002,0.655,0.568,-0.08700000000000008,RoBERTa,1000,79.287645844699
NQC,0.6233766233766234,0.4985014985014985,-0.12487512487512487,RoBERTa,1001,0.6603396603396603,0.5704295704295704,-0.08991008991008986,RoBERTa,1001,0.074128175464574
SClarity,0.6313686313686314,0.5044955044955045,-0.1268731268731269,RoBERTa,1001,0.6523476523476524,0.5644355644355644,-0.08791208791208793,RoBERTa,1001,8.119570995849369
SMV,0.6173826173826173,0.4915084915084915,-0.12587412587412583,RoBERTa,1001,0.6663336663336663,0.5774225774225774,-0.0889110889110889,RoBERTa,1001,0.7397735781873441
WIG,0.6183816183816184,0.4995004995004995,-0.11888111888111891,RoBERTa,1001,0.6653346653346653,0.5694305694305695,-0.09590409590409588,RoBERTa,1001,1.216525020599365
nSigma,0.6153846153846154,0.5044955044955045,-0.11088911088911091,RoBERTa,1001,0.6683316683316683,0.5644355644355644,-0.10389610389610393,RoBERTa,1001,0.2851727750803183
