feature,success_mean,success_std,success_median,error_mean,error_std,error_median,all_mean,all_std,p_success_vs_error,statistic,cohens_d
AvgICTF,10.346273548250037,1.7707787403375332,10.22651770679272,10.12101534943209,1.7796300142045791,10.015610414526346,10.06053055937338,1.7416099125760012,0.031353919140144994,151885.5,0.12689102263004445
AvgIDF,6.07522161097274,1.6563856574806821,5.937263430785406,5.851036033889169,1.6701626367454658,5.67010711900384,5.776774225698371,1.6470517912193912,0.02472033342931851,152361.5,0.13478454821006083
Clarity,1.9651768550542938,0.669804411235152,1.7922989666220388,1.8787493649166693,0.6366091224435133,1.7094620859849448,1.8425331252242207,0.6033620670760981,0.017888660902879713,152985.5,0.1322699142626219
MaxIDF,12.31528567990349,3.465312869002402,12.612267201812031,11.890815916008142,3.6610318055620894,12.612267201812031,11.789794808705215,3.705139748570456,0.09224269451096324,149485.0,0.11908202295863993
MaxSCQ,77.50128138906727,6.117322850691977,79.6604531238375,77.0244970630845,6.536751807699407,79.52040177843405,76.86598726283957,6.474377702363962,0.34702869134345227,145693.5,0.07531528727483824
NQC,0.09264135665813505,0.04483051498435533,0.0795607660422976,0.08772219165224794,0.04188957287243153,0.0761431647883943,0.08554600948945533,0.04105315978391207,0.04239729669910917,151257.5,0.11338408003719914
SClarity,8.561941270424933,1.7651751035479422,8.457386332249694,8.344196074076946,1.7680997655771007,8.187101176819267,8.273827867933282,1.7315345500915458,0.0389010578169025,151439.5,0.1232539951277668
SMV,1.6983441819817409,2.1393535796735534,0.9849193840600912,1.4493766884971282,1.9186653240164935,0.814683329116489,1.3862114624185753,2.2233095476933444,0.009372558800462436,154161.5,0.12252291013469668
WIG,1.6638864495129377,0.9580669855136171,1.4417181205749512,1.5143205632458505,0.8748026023559387,1.2709579086303715,1.45881462449675,0.8591314475456654,0.004364735622854423,155450.5,0.16303592249075755
nSigma,0.37582349960768985,0.19373200038091015,0.3292573613798045,0.34985851548400787,0.18538144717529495,0.2993690778511707,0.3408758535594002,0.19107079618428807,0.017578662414083117,153018.5,0.13694416746647203
