feature,high_roberta_acc,high_logreg_acc,high_improvement,high_better,high_n,low_roberta_acc,low_logreg_acc,low_improvement,low_better,low_n,median_threshold
AvgICTF,0.6553446553446554,0.5014985014985015,-0.15384615384615385,RoBERTa,1001,0.6663336663336663,0.5674325674325674,-0.09890109890109888,RoBERTa,1001,9.95432750257056
AvgIDF,0.6583416583416584,0.5004995004995005,-0.15784215784215783,RoBERTa,1001,0.6633366633366633,0.5684315684315684,-0.09490509490509491,RoBERTa,1001,5.631463853256426
Clarity,0.6533466533466533,0.5294705294705294,-0.1238761238761239,RoBERTa,1001,0.6683316683316683,0.5394605394605395,-0.12887112887112884,RoBERTa,1001,1.2257317360279534
MaxIDF,0.6663619744058501,0.4936014625228519,-0.17276051188299818,RoBERTa,1094,0.6541850220264317,0.5837004405286343,-0.07048458149779735,RoBERTa,908,12.612267201812031
MaxSCQ,0.6487025948103793,0.500998003992016,-0.1477045908183633,RoBERTa,1002,0.673,0.568,-0.1050000000000001,RoBERTa,1000,79.287645844699
NQC,0.6663336663336663,0.5654345654345654,-0.10089910089910092,RoBERTa,1001,0.6553446553446554,0.5034965034965035,-0.1518481518481518,RoBERTa,1001,0.02032507318546585
SClarity,0.6563436563436563,0.5044955044955045,-0.1518481518481518,RoBERTa,1001,0.6653346653346653,0.5644355644355644,-0.10089910089910092,RoBERTa,1001,8.119570995849369
SMV,0.6593406593406593,0.5644355644355644,-0.09490509490509491,RoBERTa,1001,0.6623376623376623,0.5044955044955045,-0.15784215784215783,RoBERTa,1001,2.3195650338401057
WIG,0.6563436563436563,0.5694305694305695,-0.08691308691308686,RoBERTa,1001,0.6653346653346653,0.4995004995004995,-0.16583416583416583,RoBERTa,1001,2.0855027770996095
nSigma,0.6683316683316683,0.5654345654345654,-0.10289710289710297,RoBERTa,1001,0.6533466533466533,0.5034965034965035,-0.14985014985014977,RoBERTa,1001,0.5116593887111442
