QPP_Feature,Stratum,QPP_Mean,RoBERTa_AUC,LogReg_AUC,AUC_Improvement
WIG,Low,0.7968302630949234,0.7472933525477589,0.7512193770092006,0.003926024461441746
WIG,Mid,1.2296478352124902,0.7107303471847456,0.7066109012412305,-0.004119445943515099
WIG,High,2.348631716574024,0.6997273346966598,0.6893857855272127,-0.010341549169447073
NQC,Low,0.05213155014797715,0.7262123660407496,0.72721531918055,0.0010029531398004776
NQC,Mid,0.074715219321548,0.7422606647948555,0.7415451498958427,-0.0007155148990127813
NQC,High,0.12972502359538374,0.660182562165565,0.6478348846620802,-0.012347677503484866
SMV,Low,0.3155482886162251,0.7388802749808523,0.7432982757654443,0.00441800078459198
SMV,Mid,0.7628866434327819,0.7176150883633877,0.7139797718029011,-0.0036353165604866566
SMV,High,3.0776635450378733,0.684437510647264,0.6725663716814159,-0.011871138965848127
Clarity,Low,1.3181635541346428,0.7220975986467106,0.7306751737579524,0.008577575111241798
Clarity,Mid,1.6707987320285207,0.730844126021861,0.7219344171948194,-0.008909708827041563
Clarity,High,2.5375950177066766,0.6730795285191709,0.6636770085354288,-0.009402519983742086
nSigma,Low,0.18532730126879518,0.7471428571428571,0.7512430426716141,0.004100185528757017
nSigma,Mid,0.2887225021666162,0.7175713385543252,0.7133405347015933,-0.00423080385273189
nSigma,High,0.5482668262492512,0.6819237147595356,0.6703150912106135,-0.011608623548922115
