feature,high_roberta_acc,high_logreg_acc,high_improvement,high_better,high_n,low_roberta_acc,low_logreg_acc,low_improvement,low_better,low_n,median_threshold
AvgICTF,0.6553446553446554,0.5014985014985015,-0.15384615384615385,RoBERTa,1001,0.6663336663336663,0.5674325674325674,-0.09890109890109888,RoBERTa,1001,9.95432750257056
AvgIDF,0.6583416583416584,0.5004995004995005,-0.15784215784215783,RoBERTa,1001,0.6633366633366633,0.5684315684315684,-0.09490509490509491,RoBERTa,1001,5.631463853256426
Clarity,0.6413586413586414,0.4905094905094905,-0.1508491508491509,RoBERTa,1001,0.6803196803196803,0.5784215784215784,-0.10189810189810189,RoBERTa,1001,1.652780203661698
MaxIDF,0.6663619744058501,0.4936014625228519,-0.17276051188299818,RoBERTa,1094,0.6541850220264317,0.5837004405286343,-0.07048458149779735,RoBERTa,908,12.612267201812031
MaxSCQ,0.6487025948103793,0.500998003992016,-0.1477045908183633,RoBERTa,1002,0.673,0.568,-0.1050000000000001,RoBERTa,1000,79.287645844699
NQC,0.6403596403596403,0.4985014985014985,-0.14185814185814183,RoBERTa,1001,0.6813186813186813,0.5704295704295704,-0.11088911088911091,RoBERTa,1001,0.074128175464574
SClarity,0.6563436563436563,0.5044955044955045,-0.1518481518481518,RoBERTa,1001,0.6653346653346653,0.5644355644355644,-0.10089910089910092,RoBERTa,1001,8.119570995849369
SMV,0.6423576423576424,0.4915084915084915,-0.15084915084915085,RoBERTa,1001,0.6793206793206793,0.5774225774225774,-0.10189810189810189,RoBERTa,1001,0.7397735781873441
WIG,0.6453546453546454,0.4995004995004995,-0.14585414585414586,RoBERTa,1001,0.6763236763236763,0.5694305694305695,-0.10689310689310683,RoBERTa,1001,1.216525020599365
nSigma,0.6413586413586414,0.5044955044955045,-0.1368631368631369,RoBERTa,1001,0.6803196803196803,0.5644355644355644,-0.11588411588411585,RoBERTa,1001,0.2851727750803183
