feature,fp_mean,fp_std,fp_n,all_mean,all_std,all_n,tp_mean,tn_mean,fn_mean,fp_vs_all_pvalue,fp_vs_tp_pvalue,fp_vs_tn_pvalue,fp_vs_fn_pvalue,fp_vs_all_cohens_d,fp_vs_tp_cohens_d,fp_vs_tn_cohens_d,fp_vs_fn_cohens_d,fp_specific,fp_vs_others_significant
AvgICTF,9.918905998422334,1.7077325270321804,7380,10.06053055937338,1.7416099125760012,2002,9.70560007731596,10.445669222441477,10.388785792052598,0.0009797041825886582,0.0005745386593924437,1.2030043866331647e-13,4.935119633728427e-08,-0.08257916708259075,0.12501046844631808,-0.3083027619562105,-0.27475193446921364,False,True
AvgIDF,5.641187253236774,1.6128426752049985,7380,5.776774225698371,1.6470517912193912,2002,5.396139096454065,6.173421696218093,6.125702334486874,0.0008536947065205684,3.640690636416723e-05,9.736305135765838e-16,5.631161199781107e-09,-0.08368527961017475,0.15206942768958107,-0.3296857617771712,-0.300201008841656,False,True
Clarity,1.8050086959433618,0.5873938608295511,7380,1.8425331252242207,0.6033620670760981,2002,1.6512314077073453,2.010562225112593,2.0218942022157207,0.004562590716992753,7.455133223835902e-09,1.1482311044765546e-16,2.491723415451641e-11,-0.06351068115766578,0.2667181920597489,-0.3466030067066621,-0.36601998027017796,False,True
MaxIDF,11.610441320874934,3.746467165711959,7380,11.789794808705215,3.705139748570456,2002,11.089084610140079,12.510735008993676,12.344369300064956,0.06191033717243342,0.003211502588321091,1.2040641263194702e-07,0.0008049918125077001,-0.04798512505341942,0.13840891250235143,-0.2424685265907087,-0.19678500597547477,False,True
MaxSCQ,76.65041386552359,6.606112906834879,7380,76.86598726283957,6.474377702363961,2002,75.71067975834231,77.88633222823479,77.71618394578947,0.2566693356472435,0.0003942403623435651,5.970468661061818e-05,0.0031681953396556924,-0.03277072124971818,0.14134828624383738,-0.1890713915311967,-0.16216657744775664,False,True
NQC,0.08290132163938033,0.03814307432019476,7380,0.08554600948945536,0.04105315978391208,2002,0.07299068719917573,0.09665937108619234,0.09765644353928407,0.03107059235362378,4.1156034449859465e-12,2.4746383657815247e-15,2.199290326234277e-12,-0.06819334461099694,0.2642685293535676,-0.3530127379446346,-0.38250693831416954,False,True
SClarity,8.129418585649846,1.6968424022740498,7380,8.273827867933282,1.7315345500915458,2002,7.946657725114209,8.620829587227183,8.607947729197043,0.0007454235273561096,0.002176960459741896,1.5485451524062701e-12,3.198128400526822e-08,-0.08473219424583685,0.10770119195016338,-0.28940059279173436,-0.281672617318707,False,True
SMV,1.2366774719244613,2.277472578032096,7380,1.386211462418575,2.2233095476933444,2002,0.9212053581986737,1.8555713176789972,1.8472293938347446,0.0013202851122685513,1.5579358476721235e-09,5.0310992940448214e-17,2.8894488922775273e-15,-0.06598950614896769,0.1427189212695252,-0.26284405080995193,-0.26809308527596515,False,True
WIG,1.3616027293386175,0.771262483244177,7380,1.4588146244967497,0.8591314475456654,2002,1.2469087698952905,1.64149824262616,1.7298862287194974,4.574104255111924e-05,1.7172199863019932e-06,2.8866038344498133e-16,2.6282191931110085e-17,-0.12292436913182,0.15012992720576485,-0.35429253340407885,-0.4703579970280094,False,True
nSigma,0.32438292471442126,0.176412908748577,7380,0.3408758535594002,0.19107079618428807,2002,0.2888638302729478,0.39023078586886795,0.393026853200725,0.002124210280656905,5.0411665674004753e-08,3.1702839148600045e-14,6.018384761453178e-14,-0.09181089934368435,0.20417089958182666,-0.3633339328970411,-0.3865879128106546,False,True
