,qa_pairs_count,clarity,wig,nqc,smv,n_sigma_50,avgidf,avgictf,maxidf,maxscq,simplified_clarity,QPP Integrated
qa_pairs_count,1.0,0.0026467042197348715,-0.00869436781254459,-0.03771586785065516,-0.000762946238075401,-0.023725441730668734,-0.013791127916770275,-0.00930095474200431,-0.026754748199299964,-0.028089335761341396,-0.0026299679146634877,0.012884491162386949
clarity,0.0026467042197348715,1.0,0.2071350302393105,0.1566003185022603,0.17737182538326915,0.2053772267406942,0.04846201721217753,0.03309094740614581,0.019043943064160955,0.0029499860263540057,0.06032181763592437,-0.005944187700702688
wig,-0.00869436781254459,0.2071350302393105,1.0,0.8562509623827175,0.9408863070394791,0.9412284168323383,0.28456372363352117,0.2492897788087093,0.203315305452376,0.274466472741966,0.23316773325182025,-0.003892345562679977
nqc,-0.03771586785065516,0.1566003185022603,0.8562509623827175,1.0,0.8605385372396066,0.9063311254051076,0.27717565830887003,0.24535382579222115,0.1837440939135397,0.23376668410944848,0.24530775551869152,-0.038335395104394016
smv,-0.000762946238075401,0.17737182538326915,0.9408863070394791,0.8605385372396066,1.0,0.8930228544987138,0.23927735608814557,0.20947839491678316,0.16184241184686496,0.22226580837858076,0.19640800171409026,0.00030356000163099674
n_sigma_50,-0.023725441730668734,0.2053772267406942,0.9412284168323383,0.9063311254051076,0.8930228544987138,1.0,0.30132576545582385,0.26414728276298094,0.2042428052497207,0.28924919461698984,0.2533402748315995,-0.02016923589352283
avgidf,-0.013791127916770275,0.04846201721217753,0.28456372363352117,0.27717565830887003,0.23927735608814557,0.30132576545582385,1.0,0.9872536432527648,0.7740811557392261,0.27963910311130064,0.9895569877416655,-0.05338115833752696
avgictf,-0.00930095474200431,0.03309094740614581,0.2492897788087093,0.24535382579222115,0.20947839491678316,0.26414728276298094,0.9872536432527648,1.0,0.7480923611891822,0.27642314848489513,0.9909962513321442,-0.048582171684031825
maxidf,-0.026754748199299964,0.019043943064160955,0.203315305452376,0.1837440939135397,0.16184241184686496,0.2042428052497207,0.7740811557392261,0.7480923611891822,1.0,0.1214216407395883,0.7380419405445275,-0.06694532214867577
maxscq,-0.028089335761341396,0.0029499860263540057,0.274466472741966,0.23376668410944848,0.22226580837858076,0.28924919461698984,0.27963910311130064,0.27642314848489513,0.1214216407395883,1.0,0.25941459373950515,0.005988863579754583
simplified_clarity,-0.0026299679146634877,0.06032181763592437,0.23316773325182025,0.24530775551869152,0.19640800171409026,0.2533402748315995,0.9895569877416655,0.9909962513321442,0.7380419405445275,0.25941459373950515,1.0,-0.04833063338773023
QPP Integrated,0.012884491162386949,-0.005944187700702688,-0.003892345562679977,-0.038335395104394016,0.00030356000163099674,-0.02016923589352283,-0.05338115833752696,-0.048582171684031825,-0.06694532214867577,0.005988863579754583,-0.04833063338773023,1.0
