qa_pairs_category,percentage,count,total,method
4+ QA pairs,26.2350936967632,154,587,clarity
2 QA pairs,25.692695214105793,102,397,clarity
3 QA pairs,21.27659574468085,40,188,clarity
4+ QA pairs,21.976149914821125,129,587,wig
2 QA pairs,25.692695214105793,102,397,wig
3 QA pairs,21.27659574468085,40,188,wig
4+ QA pairs,20.954003407155025,123,587,nqc
2 QA pairs,24.181360201511335,96,397,nqc
3 QA pairs,22.340425531914892,42,188,nqc
4+ QA pairs,20.783645655877343,122,587,smv
2 QA pairs,24.937027707808564,99,397,smv
3 QA pairs,20.74468085106383,39,188,smv
4+ QA pairs,21.80579216354344,128,587,n_sigma_50
2 QA pairs,24.43324937027708,97,397,n_sigma_50
3 QA pairs,21.27659574468085,40,188,n_sigma_50
4+ QA pairs,23.168654173764907,136,587,avgidf
2 QA pairs,21.41057934508816,85,397,avgidf
3 QA pairs,23.93617021276596,45,188,avgidf
4+ QA pairs,23.339011925042588,137,587,avgictf
2 QA pairs,20.906801007556673,83,397,avgictf
3 QA pairs,23.93617021276596,45,188,avgictf
4+ QA pairs,24.361158432708688,143,587,maxidf
2 QA pairs,22.921914357682617,91,397,maxidf
3 QA pairs,27.127659574468083,51,188,maxidf
4+ QA pairs,27.938671209540033,164,587,maxscq
2 QA pairs,24.181360201511335,96,397,maxscq
3 QA pairs,29.25531914893617,55,188,maxscq
4+ QA pairs,23.168654173764907,136,587,simplified_clarity
2 QA pairs,22.418136020151135,89,397,simplified_clarity
3 QA pairs,25.0,47,188,simplified_clarity
4+ QA pairs,25.894378194207835,152,587,QPP Integrated
2 QA pairs,23.929471032745592,95,397,QPP Integrated
3 QA pairs,20.74468085106383,39,188,QPP Integrated
