Metric,AUC-ROC,AUC-PR,p-value
bert_logit_clarification,0.6044,0.2392,-
pre_avgictf,0.5049,0.1714,-
pre_avgidf,0.5049,0.1713,-
pre_maxidf,0.5221,0.1812,-
pre_maxscq,0.5100,0.1734,-
pre_simplified_clarity,0.5002,0.1706,-
L1 Logistic Regression,0.5975,0.2386,0.0203
L2 Logistic Regression,0.5949,0.2381,0.0097
E-Net,0.5972,0.2389,0.0235
No Penalty Logistic Regression,0.5898,0.2331,0.0016
BOLASSO,0.5978,0.2389,0.0277
LARS-Traps,0.5949,0.2381,0.0097
LARS-CV,0.5979,0.2396,0.0491
Random Forest,0.5373,0.1814,0.0003
