bootstrap_id,feature_combination,metric_name,value
0,regression,auc,0.5030623688069701
0,regression,ap,0.17656884544985124
0,regression,f1,0.19463087248322147
0,regression,accuracy,0.5219123505976095
1,regression,auc,0.5761324041811846
1,regression,ap,0.22731481014830923
1,regression,f1,0.26366559485530544
1,regression,accuracy,0.5438247011952191
2,regression,auc,0.5044494720965309
2,regression,ap,0.12201135877298731
2,regression,f1,0.14685314685314685
2,regression,accuracy,0.5139442231075697
3,regression,auc,0.5779610379990617
3,regression,ap,0.27869086062535003
3,regression,f1,0.2884012539184953
3,regression,accuracy,0.547808764940239
4,regression,auc,0.4769078854563408
4,regression,ap,0.15944593355931347
4,regression,f1,0.2057877813504823
4,regression,accuracy,0.5079681274900398
5,regression,auc,0.5627518557794273
5,regression,ap,0.22901144460489525
5,regression,f1,0.2802547770700637
5,regression,accuracy,0.549800796812749
6,regression,auc,0.5419877283105023
6,regression,ap,0.14105881245461274
6,regression,f1,0.22525597269624573
6,regression,accuracy,0.547808764940239
7,regression,auc,0.5379062362758016
7,regression,ap,0.1913960583007942
7,regression,f1,0.2553191489361702
7,regression,accuracy,0.5119521912350598
8,regression,auc,0.5483073881887818
8,regression,ap,0.17296176470065883
8,regression,f1,0.23255813953488372
8,regression,accuracy,0.5398406374501992
9,regression,auc,0.5730255516840883
9,regression,ap,0.2015891587485797
9,regression,f1,0.24358974358974358
9,regression,accuracy,0.5298804780876494
10,regression,auc,0.5472273540365384
10,regression,ap,0.19421903165404275
10,regression,f1,0.2348993288590604
10,regression,accuracy,0.545816733067729
11,regression,auc,0.4872727272727273
11,regression,ap,0.15804804121675892
11,regression,f1,0.18430034129692832
11,regression,accuracy,0.5239043824701195
12,regression,auc,0.5583435560016357
12,regression,ap,0.15411223472398
12,regression,f1,0.21908127208480566
12,regression,accuracy,0.5597609561752988
13,regression,auc,0.5409924487594391
13,regression,ap,0.21191009125016275
13,regression,f1,0.2524271844660194
13,regression,accuracy,0.5398406374501992
14,regression,auc,0.4880865989356556
14,regression,ap,0.15660633681591346
14,regression,f1,0.18791946308724833
14,regression,accuracy,0.5179282868525896
15,regression,auc,0.5233506300963677
15,regression,ap,0.16522112095364133
15,regression,f1,0.19444444444444445
15,regression,accuracy,0.5378486055776892
16,regression,auc,0.5388243831640058
16,regression,ap,0.1774567459705616
16,regression,f1,0.25
16,regression,accuracy,0.545816733067729
17,regression,auc,0.5445246887356623
17,regression,ap,0.15513889036517725
17,regression,f1,0.23417721518987342
17,regression,accuracy,0.5179282868525896
18,regression,auc,0.5728024980483997
18,regression,ap,0.1785289027229961
18,regression,f1,0.23493975903614459
18,regression,accuracy,0.4940239043824701
19,regression,auc,0.5949644549763033
19,regression,ap,0.20851242525646663
19,regression,f1,0.2795031055900621
19,regression,accuracy,0.5378486055776892
20,regression,auc,0.5425591028490604
20,regression,ap,0.22303686591545108
20,regression,f1,0.22875816993464052
20,regression,accuracy,0.5298804780876494
21,regression,auc,0.5756726609897435
21,regression,ap,0.21840641834634963
21,regression,f1,0.2875
21,regression,accuracy,0.545816733067729
22,regression,auc,0.5137386000410545
22,regression,ap,0.16523046468397795
22,regression,f1,0.2376237623762376
22,regression,accuracy,0.5398406374501992
23,regression,auc,0.5692286386927018
23,regression,ap,0.20095993966252268
23,regression,f1,0.2830188679245283
23,regression,accuracy,0.545816733067729
24,regression,auc,0.5444767441860465
24,regression,ap,0.1654199951877069
24,regression,f1,0.21201413427561838
