Metric,AUC-ROC,AUC-PR,p-value
clarity,0.4614,0.1506,-
n_sigma_50,0.4744,0.1583,-
nqc,0.4516,0.1595,-
pre_avgictf,0.5036,0.1727,-
pre_avgidf,0.5077,0.1758,-
pre_maxidf,0.5185,0.1815,-
pre_maxscq,0.5031,0.1721,-
pre_simplified_clarity,0.5022,0.1727,-
smv,0.4580,0.1636,-
wig,0.4658,0.1629,-
L1 Logistic Regression,0.5379,0.1828,0.3475
L2 Logistic Regression,0.5389,0.1826,0.3126
E-Net,0.5390,0.1829,0.3197
No Penalty Logistic Regression,0.5539,0.1906,0.1166
BOLASSO,0.5380,0.1828,0.3439
LARS-Traps,0.5389,0.1826,0.3126
LARS-CV,0.5393,0.1827,0.3031
Random Forest,0.5117,0.1745,0.7636
