bootstrap_id,feature_combination,metric_name,value
0,regression,auc,0.5830226414162614
0,regression,ap,0.29518058231361205
0,regression,f1,0.3443708609271523
0,regression,accuracy,0.6055776892430279
1,regression,auc,0.5445750190603885
1,regression,ap,0.24156481406790223
1,regression,f1,0.29042904290429045
1,regression,accuracy,0.5717131474103586
2,regression,auc,0.5709803921568627
2,regression,ap,0.26884605092129754
2,regression,f1,0.32398753894080995
2,regression,accuracy,0.5677290836653387
3,regression,auc,0.6332938388625593
3,regression,ap,0.3239423072354726
3,regression,f1,0.34210526315789475
3,regression,accuracy,0.601593625498008
4,regression,auc,0.6011515103714804
4,regression,ap,0.2920492330380913
4,regression,f1,0.33098591549295775
4,regression,accuracy,0.6215139442231076
5,regression,auc,0.5645029839366932
5,regression,ap,0.24406807446602494
5,regression,f1,0.33544303797468356
5,regression,accuracy,0.5816733067729084
6,regression,auc,0.5837255488750441
6,regression,ap,0.2718565261620244
6,regression,f1,0.34527687296416937
6,regression,accuracy,0.599601593625498
7,regression,auc,0.5990971928339681
7,regression,ap,0.31629364609049004
7,regression,f1,0.32764505119453924
7,regression,accuracy,0.6075697211155379
8,regression,auc,0.655845848977889
8,regression,ap,0.38389819795614455
8,regression,f1,0.38926174496644295
8,regression,accuracy,0.6374501992031872
9,regression,auc,0.6563897584973166
9,regression,ap,0.36514153081856165
9,regression,f1,0.352112676056338
9,regression,accuracy,0.6334661354581673
10,regression,auc,0.531538208168643
10,regression,ap,0.22114802255647198
10,regression,f1,0.30405405405405406
10,regression,accuracy,0.5896414342629482
11,regression,auc,0.6550901378579003
11,regression,ap,0.3016428147961259
11,regression,f1,0.3914590747330961
11,regression,accuracy,0.6593625498007968
12,regression,auc,0.5757403336350705
12,regression,ap,0.24659332606700252
12,regression,f1,0.30564784053156147
12,regression,accuracy,0.5836653386454184
13,regression,auc,0.5438419892809534
13,regression,ap,0.21820327072925552
13,regression,f1,0.3006535947712418
13,regression,accuracy,0.5737051792828686
14,regression,auc,0.5886264080100125
14,regression,ap,0.29998012978978983
14,regression,f1,0.3280757097791798
14,regression,accuracy,0.5756972111553785
15,regression,auc,0.5453551912568306
15,regression,ap,0.26346195753330315
15,regression,f1,0.2571428571428571
15,regression,accuracy,0.5856573705179283
16,regression,auc,0.6390430456911178
16,regression,ap,0.30107916615737956
16,regression,f1,0.33783783783783783
16,regression,accuracy,0.6095617529880478
17,regression,auc,0.5396590066716086
17,regression,ap,0.17397085553651004
17,regression,f1,0.27007299270072993
17,regression,accuracy,0.601593625498008
18,regression,auc,0.6607116138492384
