Metric,AUC-ROC,AUC-PR,p-value
clarity,0.4614,0.1506,-
n_sigma_50,0.4744,0.1583,-
nqc,0.4516,0.1595,-
pre_avgictf,0.4815,0.1663,-
pre_avgidf,0.4892,0.1694,-
pre_maxidf,0.5043,0.1757,-
pre_maxscq,0.4766,0.1618,-
pre_simplified_clarity,0.4863,0.1681,-
roberta_logit_clarification,0.6085,0.2447,-
smv,0.4580,0.1636,-
wig,0.4658,0.1629,-
L1 Logistic Regression,0.6076,0.2425,0.9083
L2 Logistic Regression,0.6039,0.2411,0.5369
E-Net,0.6058,0.2412,0.7122
No Penalty Logistic Regression,0.6054,0.2343,0.7906
BOLASSO,0.6085,0.2423,0.9911
LARS-Traps,0.6039,0.2411,0.5369
LARS-CV,0.6032,0.2445,0.4076
Random Forest,0.5205,0.1773,7.86e-07
