conv_id,turn_id,n_sigma_50,sigma_50,query_length,num_retrieved_documents,num_filtered_documents
food_level3_dial26,1,0.4999661462988637,1.1179582895728641,5,100,100
food_level3_dial26,2,0.1265917596270433,1.0515501313667868,69,100,100
food_level3_dial26,3,0.08470364596699194,0.8212323168078215,94,100,100
food_level3_dial26,4,0.11837622084074946,1.375407395709582,135,100,100
food_level3_dial26,5,0.05809477926199269,0.8458727540416034,212,100,100
food_level3_dial26,6,0.0770133281331738,1.2322132501307808,256,100,100
hobby_level1_dial16,1,0.4461740319058612,0.8923480638117224,4,100,100
hobby_level1_dial16,2,0.17497130524588092,1.2122367622100343,48,100,100
hobby_level1_dial16,3,0.05632171168151759,0.528344488182443,88,100,100
hobby_level1_dial16,4,0.13813523158505245,1.6344381018282248,140,100,100
hobby_level1_dial16,5,0.09145539601635842,1.1783203513665057,166,100,100
hobby_level1_dial16,6,0.06709398774428797,1.0108728527637691,227,100,100
top25_dial5,1,0.6364855499660613,1.6839824782963737,7,100,100
top25_dial5,2,0.2674782221024783,2.106125626961594,62,100,100
top25_dial5,3,0.2113127624363449,2.285697000372547,117,100,100
food_level2_dial36,1,0.535509996501338,1.4168262753316094,7,100,100
food_level2_dial36,2,0.30033537359158013,1.531415930565646,26,100,100
food_level2_dial36,3,0.1729893329062031,1.3730602630103275,63,100,100
food_level2_dial36,4,0.15281930889463885,1.5205329249748158,99,100,100
food_level2_dial36,5,0.1449689287472314,1.7091584631024297,139,100,100
food_level3_dial27,1,0.4667491864569388,1.475990525234543,10,100,100
food_level3_dial27,2,0.19632094062122063,1.093068736868101,31,100,100
food_level3_dial27,3,0.16085047606057024,1.1487021624836076,51,100,100
food_level3_dial27,4,0.20644760497927686,1.7272645865985814,70,100,100
food_level3_dial27,5,0.1907663656133262,1.8097686488716043,90,100,100
food_level3_dial27,6,0.11462782277087316,1.2504419189349396,119,100,100
food_level2_dial37,1,0.44966090922055957,1.5576710818952515,12,100,100
food_level2_dial37,2,0.17427063006731294,1.1158764952567053,41,100,100
food_level2_dial37,3,0.14894015539615446,1.3892212856058843,87,100,100
food_level2_dial37,4,0.1039215793188002,1.220802138530109,138,100,100
food_level2_dial37,5,0.12567502667220964,1.676713987110738,178,100,100
food_level2_dial37,6,0.0837763049785144,1.190685010287069,202,100,100
food_level2_dial12,1,0.3465112548960036,1.3860450195840144,16,100,100
food_level2_dial12,2,0.1525861982161931,1.2206895857295448,64,100,100
food_level2_dial12,3,0.10586838217656784,0.9931334564559674,88,100,100
food_level2_dial12,4,0.08810893309673219,1.0312886213509227,137,100,100
food_level2_dial12,5,0.10509590125611609,1.4100094761916868,180,100,100
food_level2_dial12,6,0.13875239517499305,1.9866319662165597,205,100,100
hobby_level2_dial2,1,0.35225826762534246,1.220258433826576,12,100,100
hobby_level2_dial2,2,0.11077595872398124,0.6738238509840953,37,100,100
hobby_level2_dial2,3,0.14854787260038185,1.2691935798566139,73,100,100
hobby_level2_dial2,4,0.2650791842340852,2.677168530229135,102,100,100
hobby_level2_dial2,5,0.1221042382044827,1.4550399266771277,142,100,100
hobby_level2_dial2,6,0.07162152978933496,0.9924170280874882,192,100,100
hobby_level3_dial33,1,0.24052775546787153,0.7977403165532843,11,100,100
hobby_level3_dial33,2,0.20130069518977464,1.2731373827499775,40,100,100
hobby_level3_dial33,3,0.10857211306551431,1.0470315407868602,93,100,100
hobby_level3_dial33,4,0.0855322949368735,1.047552395622886,150,100,100
hobby_level3_dial33,5,0.07747517308997243,1.0763195027253707,193,100,100
hobby_level3_dial33,6,0.033077296950903286,0.4950556498834498,224,100,100
food_level1_dial1,1,0.26063696151661536,0.9752142123249593,14,100,100
