conv_id,turn_id,lci,num_retrieved_documents
food_level3_dial26,1,0.231,100
food_level3_dial26,2,0.065,100
food_level3_dial26,3,0.051,100
food_level3_dial26,4,0.01,100
food_level3_dial26,5,0.029,100
food_level3_dial26,6,0.053,100
hobby_level1_dial16,1,0.081,100
hobby_level1_dial16,2,0.04,100
hobby_level1_dial16,3,0.068,100
hobby_level1_dial16,4,0.126,100
hobby_level1_dial16,5,0.023,100
hobby_level1_dial16,6,0.036,100
top25_dial5,1,0.067,100
top25_dial5,2,0.111,100
top25_dial5,3,0.1,100
food_level2_dial36,1,0.147,100
food_level2_dial36,2,0.072,100
food_level2_dial36,3,0.215,100
food_level2_dial36,4,0.122,100
food_level2_dial36,5,0.082,100
food_level3_dial27,1,0.295,100
food_level3_dial27,2,0.062,100
food_level3_dial27,3,0.064,100
food_level3_dial27,4,0.032,100
food_level3_dial27,5,0.128,100
food_level3_dial27,6,0.098,100
food_level2_dial37,1,0.225,100
food_level2_dial37,2,0.137,100
food_level2_dial37,3,0.113,100
food_level2_dial37,4,0.078,100
food_level2_dial37,5,0.085,100
food_level2_dial37,6,0.026,100
food_level2_dial12,1,0.056,100
food_level2_dial12,2,0.156,100
food_level2_dial12,3,0.061,100
food_level2_dial12,4,0.092,100
food_level2_dial12,5,0.091,100
food_level2_dial12,6,0.148,100
hobby_level2_dial2,1,0.27,100
hobby_level2_dial2,2,0.116,100
hobby_level2_dial2,3,0.03,100
hobby_level2_dial2,4,0.267,100
hobby_level2_dial2,5,0.174,100
hobby_level2_dial2,6,0.063,100
hobby_level3_dial33,1,0.005,100
hobby_level3_dial33,2,0.125,100
hobby_level3_dial33,3,0.105,100
hobby_level3_dial33,4,0.024,100
hobby_level3_dial33,5,0.092,100
hobby_level3_dial33,6,0.008,100
food_level1_dial1,1,0.035,100
food_level1_dial1,2,0.314,100
hobby_level1_dial17,1,0.169,100
hobby_level1_dial17,2,0.089,100
hobby_level1_dial17,3,0.089,100
hobby_level1_dial17,4,0.085,100
hobby_level1_dial17,5,0.024,100
hobby_level1_dial17,6,0.168,100
top25_dial23,1,0.051,100
top25_dial23,2,0.073,100
top25_dial23,3,0.047,100
top25_dial23,4,0.1,100
top25_dial23,5,0.127,100
top25_dial23,6,0.028,100
food_level3_dial28,1,0.008,100
food_level3_dial28,2,0.093,100
food_level3_dial28,3,0.015,100
food_level3_dial28,4,0.03,100
food_level3_dial28,5,0.049,100
food_level3_dial28,6,0.031,100
hobby_level2_dial20,1,0.164,100
hobby_level2_dial20,2,0.093,100
hobby_level2_dial20,3,0.053,100
hobby_level2_dial20,4,0.043,100
hobby_level2_dial20,5,0.082,100
hobby_level2_dial20,6,0.18,100
top25_dial50,1,0.022,100
top25_dial50,2,0.093,100
top25_dial50,3,0.076,100
top25_dial50,4,0.032,100
top25_dial50,5,0.003,100
top25_dial50,6,0.511,100
hobby_level3_dial34,1,0.187,100
hobby_level3_dial34,2,0.119,100
hobby_level3_dial34,3,0.122,100
hobby_level3_dial34,4,0.092,100
hobby_level3_dial34,5,0.033,100
hobby_level3_dial34,6,0.028,100
food_level1_dial10,1,0.287,100
food_level1_dial10,2,0.204,100
food_level1_dial10,3,0.109,100
food_level1_dial10,4,0.046,100
food_level1_dial10,5,0.033,100
food_level1_dial10,6,0.106,100
food_level2_dial38,1,0.14,100
food_level2_dial38,2,0.04,100
food_level2_dial38,3,0.067,100
food_level2_dial38,4,0.04,100
food_level2_dial38,5,0.105,100
food_level2_dial38,6,0.02,100
food_level2_dial38,7,0.029,100
top25_dial24,1,0.017,100
top25_dial24,2,0.013,100
top25_dial24,3,0.086,100
top25_dial24,4,0.16,100
top25_dial24,5,0.007,100
top25_dial24,6,0.027,100
food_level3_dial29,1,0.158,100
food_level3_dial29,2,0.138,100
food_level3_dial29,3,0.209,100
food_level3_dial29,4,0.148,100
food_level3_dial29,5,0.113,100
food_level3_dial29,6,0.047,100
hobby_level2_dial9,1,0.205,100
hobby_level2_dial9,2,0.196,100
hobby_level2_dial9,3,0.515,100
hobby_level2_dial9,4,0.022,100
hobby_level2_dial9,5,0.174,100
top25_dial51,1,0.043,100
top25_dial51,2,0.065,100
top25_dial51,3,0.063,100
top25_dial51,4,0.017,100
top25_dial51,5,0.034,100
top25_dial51,6,0.015,100
hobby_level3_dial35,1,0.343,100
hobby_level3_dial35,2,0.028,100
hobby_level3_dial35,3,0.011,100
hobby_level3_dial35,4,0.019,100
hobby_level3_dial35,5,0.027,100
hobby_level3_dial35,6,0.095,100
hobby_level3_dial35,7,0.018,100
food_level1_dial11,1,0.025,100
food_level1_dial11,2,0.173,100
food_level1_dial11,3,0.124,100
food_level1_dial11,4,0.037,100
food_level1_dial11,5,0.04,100
food_level1_dial11,6,0.042,100
hobby_level2_dial21,1,0.074,100
hobby_level2_dial21,2,0.034,100
hobby_level2_dial21,3,0.044,100
hobby_level2_dial21,4,0.008,100
food_level2_dial4,1,0.153,100
food_level2_dial4,2,0.207,100
food_level2_dial4,3,0.168,100
food_level2_dial4,4,0.05,100
food_level2_dial4,5,0.048,100
food_level2_dial4,6,0.193,100
hobby_level3_dial1,1,0.015,100
hobby_level3_dial1,2,0.024,100
hobby_level3_dial1,3,0.387,100
hobby_level3_dial1,4,0.026,100
hobby_level3_dial1,5,0.095,100
hobby_level3_dial1,6,0.043,100
hobby_level1_dial18,1,0.073,100
hobby_level1_dial18,2,0.048,100
hobby_level1_dial18,3,0.195,100
hobby_level1_dial18,4,0.055,100
hobby_level1_dial18,5,0.083,100
hobby_level1_dial18,6,0.011,100
food_level1_dial12,1,0.058,100
food_level1_dial12,2,0.187,100
food_level1_dial12,3,0.148,100
food_level1_dial12,4,0.156,100
food_level1_dial12,5,0.091,100
food_level1_dial12,6,0.182,100
top25_dial52,1,0.001,100
top25_dial52,2,0.001,100
hobby_level3_dial36,1,0.189,100
hobby_level3_dial36,2,0.142,100
hobby_level3_dial36,3,0.036,100
food_level3_dial3,1,0.081,100
food_level3_dial3,2,0.104,100
food_level3_dial3,3,0.083,100
food_level3_dial3,4,0.162,100
food_level3_dial3,5,0.16,100
food_level3_dial3,6,0.159,100
hobby_level2_dial22,1,0.009,100
hobby_level2_dial22,2,0.01,100
hobby_level2_dial22,3,0.035,100
hobby_level2_dial22,4,0.015,100
hobby_level2_dial22,5,0.066,100
hobby_level2_dial22,6,0.005,100
food_level2_dial5,1,0.301,100
food_level2_dial5,2,0.046,100
food_level2_dial5,3,0.074,100
food_level1_dial13,1,0.48,100
food_level1_dial13,2,0.33,100
food_level1_dial13,3,0.014,100
hobby_level3_dial37,1,0.107,100
hobby_level3_dial37,2,0.012,100
hobby_level3_dial37,3,0.045,100
hobby_level3_dial37,4,0.049,100
hobby_level3_dial37,5,0.106,100
hobby_level3_dial37,6,0.038,100
hobby_level3_dial10,1,0.184,100
hobby_level3_dial10,2,0.16,100
hobby_level3_dial10,3,0.066,100
hobby_level3_dial10,4,0.01,100
food_level2_dial13,1,0.085,100
food_level2_dial13,2,0.398,100
food_level2_dial13,3,0.247,100
food_level2_dial13,4,0.279,100
food_level2_dial13,5,0.038,100
food_level2_dial13,6,0.183,100
food_level3_dial30,1,0.077,100
food_level3_dial30,2,0.016,100
food_level3_dial30,3,0.013,100
food_level3_dial30,4,0.083,100
food_level3_dial30,5,0.246,100
food_level3_dial30,6,0.07,100
food_level3_dial30,7,0.035,100
food_level1_dial14,1,0.317,100
food_level1_dial14,2,0.252,100
food_level1_dial14,3,0.575,100
food_level1_dial14,4,0.047,100
food_level1_dial14,5,0.054,100
food_level1_dial14,6,0.043,100
hobby_level1_dial19,1,0.025,100
hobby_level1_dial19,2,0.212,100
hobby_level1_dial19,3,0.227,100
hobby_level1_dial19,4,0.161,100
hobby_level1_dial19,5,0.035,100
hobby_level1_dial19,6,0.066,100
top25_dial53,1,0.407,100
top25_dial53,2,0.111,100
top25_dial53,3,0.052,100
top25_dial53,4,0.356,100
top25_dial53,5,0.01,100
top25_dial53,6,0.005,100
food_level3_dial31,1,0.01,100
food_level3_dial31,2,0.04,100
food_level3_dial31,3,0.031,100
food_level3_dial31,4,0.009,100
food_level3_dial31,5,0.055,100
food_level3_dial31,6,0.105,100
hobby_level1_dial2,1,0.097,100
hobby_level1_dial2,2,0.045,100
hobby_level1_dial2,3,0.085,100
hobby_level1_dial2,4,0.132,100
hobby_level1_dial2,5,0.084,100
hobby_level1_dial2,6,0.093,100
food_level2_dial14,1,0.015,100
food_level2_dial14,2,0.014,100
food_level2_dial14,3,0.04,100
food_level2_dial14,4,0.055,100
food_level2_dial14,5,0.056,100
food_level2_dial14,6,0.012,100
hobby_level3_dial38,1,0.428,100
hobby_level3_dial38,2,0.103,100
hobby_level3_dial38,3,0.158,100
hobby_level3_dial38,4,0.291,100
hobby_level3_dial38,5,0.102,100
hobby_level3_dial38,6,0.044,100
hobby_level2_dial23,1,0.073,100
hobby_level2_dial23,2,0.098,100
hobby_level2_dial23,3,0.293,100
hobby_level2_dial23,4,0.124,100
hobby_level2_dial23,5,0.075,100
hobby_level2_dial23,6,0.128,100
hobby_level3_dial11,1,0.07,100
hobby_level3_dial11,2,0.034,100
hobby_level3_dial11,3,0.08,100
hobby_level3_dial11,4,0.121,100
hobby_level3_dial11,5,0.025,100
hobby_level3_dial11,6,0.025,100
hobby_level3_dial11,7,0.024,100
food_level1_dial15,1,0.271,100
food_level1_dial15,2,0.333,100
food_level1_dial15,3,0.306,100
food_level1_dial15,4,0.283,100
food_level1_dial15,5,0.229,100
food_level1_dial15,6,0.108,100
food_level3_dial32,1,0.226,100
food_level3_dial32,2,0.238,100
food_level3_dial32,3,0.293,100
food_level3_dial32,4,0.234,100
food_level3_dial32,5,0.072,100
food_level3_dial32,6,0.095,100
top25_dial25,1,0.032,100
top25_dial25,2,0.193,100
top25_dial25,3,0.099,100
top25_dial25,4,0.051,100
top25_dial25,5,0.089,100
top25_dial25,6,0.184,100
hobby_level3_dial4,1,0.024,100
hobby_level3_dial4,2,0.031,100
hobby_level3_dial4,3,0.069,100
hobby_level1_dial20,1,0.111,100
hobby_level1_dial20,2,0.097,100
hobby_level1_dial20,3,0.007,100
hobby_level1_dial20,4,0.05,100
hobby_level1_dial20,5,0.072,100
hobby_level1_dial20,6,0.024,100
food_level2_dial15,1,0.061,100
food_level2_dial15,2,0.055,100
food_level2_dial15,3,0.046,100
food_level2_dial15,4,0.045,100
food_level2_dial15,5,0.024,100
food_level2_dial15,6,0.141,100
food_level3_dial33,1,0.055,100
food_level3_dial33,2,0.114,100
food_level3_dial33,3,0.093,100
food_level3_dial33,4,0.074,100
hobby_level3_dial13,1,0.456,100
hobby_level3_dial13,2,0.147,100
hobby_level3_dial13,3,0.057,100
hobby_level3_dial13,4,0.383,100
hobby_level3_dial13,5,0.219,100
hobby_level3_dial13,6,0.022,100
food_level1_dial16,1,0.096,100
food_level1_dial16,2,0.064,100
food_level1_dial16,3,0.091,100
food_level1_dial16,4,0.045,100
food_level1_dial16,5,0.186,100
food_level1_dial16,6,0.275,100
food_level2_dial16,1,0.12,100
food_level2_dial16,2,0.201,100
food_level2_dial16,3,0.054,100
food_level2_dial16,4,0.134,100
food_level2_dial16,5,0.042,100
food_level2_dial16,6,0.011,100
hobby_level3_dial5,1,0.087,100
hobby_level3_dial5,2,0.094,100
hobby_level3_dial5,3,0.151,100
hobby_level3_dial5,4,0.034,100
hobby_level3_dial5,5,0.118,100
hobby_level3_dial5,6,0.053,100
food_level3_dial34,1,0.079,100
food_level3_dial34,2,0.157,100
food_level3_dial34,3,0.193,100
food_level3_dial34,4,0.131,100
food_level3_dial34,5,0.061,100
food_level3_dial34,6,0.006,100
food_level1_dial17,1,0.052,100
food_level1_dial17,2,0.106,100
food_level1_dial17,3,0.047,100
food_level1_dial17,4,0.149,100
food_level1_dial17,5,0.16,100
food_level1_dial17,6,0.245,100
food_level2_dial17,1,0.003,100
food_level2_dial17,2,0.056,100
food_level2_dial17,3,0.044,100
food_level2_dial17,4,0.023,100
food_level2_dial17,5,0.037,100
food_level2_dial17,6,0.104,100
top25_dial54,1,0.13,100
top25_dial54,2,0.144,100
top25_dial54,3,0.183,100
top25_dial26,1,0.112,100
top25_dial26,2,0.033,100
top25_dial26,3,0.105,100
top25_dial26,4,0.191,100
top25_dial26,5,0.026,100
top25_dial26,6,0.021,100
food_level1_dial18,1,0.081,100
food_level1_dial18,2,0.079,100
food_level1_dial18,3,0.135,100
food_level1_dial18,4,0.042,100
food_level1_dial18,5,0.007,100
food_level1_dial18,6,0.008,100
hobby_level3_dial15,1,0.056,100
hobby_level3_dial15,2,0.002,100
hobby_level3_dial15,3,0.026,100
hobby_level3_dial15,4,0.042,100
hobby_level3_dial15,5,0.224,100
hobby_level3_dial15,6,0.039,100
food_level2_dial6,1,0.435,100
food_level2_dial6,2,0.548,100
food_level2_dial6,3,0.463,100
food_level2_dial6,4,0.274,100
food_level2_dial6,5,0.155,100
food_level2_dial6,6,0.049,100
hobby_level1_dial21,1,0.267,100
hobby_level1_dial21,2,0.135,100
hobby_level1_dial21,3,0.105,100
hobby_level1_dial21,4,0.136,100
hobby_level1_dial21,5,0.181,100
hobby_level1_dial21,6,0.079,100
food_level3_dial35,1,0.071,100
food_level3_dial35,2,0.138,100
food_level3_dial35,3,0.065,100
food_level3_dial35,4,0.066,100
food_level3_dial35,5,0.029,100
food_level3_dial35,6,0.041,100
hobby_level3_dial16,1,0.134,100
hobby_level3_dial16,2,0.028,100
hobby_level3_dial16,3,0.026,100
hobby_level3_dial16,4,0.002,100
hobby_level3_dial16,5,0.011,100
hobby_level3_dial16,6,0.011,100
hobby_level3_dial6,1,0.085,100
hobby_level3_dial6,2,0.086,100
hobby_level3_dial6,3,0.089,100
hobby_level3_dial6,4,0.014,100
hobby_level3_dial6,5,0.177,100
hobby_level3_dial6,6,0.106,100
food_level2_dial7,1,0.185,100
food_level2_dial7,2,0.235,100
food_level2_dial7,3,0.153,100
food_level2_dial7,4,0.228,100
food_level2_dial7,5,0.025,100
food_level2_dial7,6,0.153,100
hobby_level1_dial22,1,0.07,100
hobby_level1_dial22,2,0.021,100
hobby_level1_dial22,3,0.038,100
hobby_level1_dial22,4,0.104,100
hobby_level1_dial22,5,0.025,100
hobby_level1_dial22,6,0.073,100
food_level1_dial19,1,0.407,100
food_level1_dial19,2,0.38,100
food_level1_dial19,3,0.36,100
food_level1_dial19,4,0.078,100
top25_dial55,1,0.011,100
top25_dial55,2,0.025,100
top25_dial55,3,0.012,100
top25_dial55,4,0.113,100
top25_dial55,5,0.0,100
top25_dial55,6,0.1,100
food_level3_dial36,1,0.145,100
food_level3_dial36,2,0.143,100
food_level3_dial36,3,0.456,100
food_level3_dial36,4,0.086,100
food_level3_dial36,5,0.051,100
food_level3_dial36,6,0.021,100
hobby_level3_dial17,1,0.515,100
hobby_level3_dial17,2,0.445,100
hobby_level3_dial17,3,0.313,100
hobby_level3_dial17,4,0.387,100
hobby_level3_dial17,5,0.031,100
hobby_level3_dial17,6,0.011,100
hobby_level1_dial23,1,0.227,100
hobby_level1_dial23,2,0.139,100
hobby_level1_dial23,3,0.127,100
hobby_level1_dial23,4,0.168,100
hobby_level1_dial23,5,0.22,100
hobby_level1_dial23,6,0.025,100
hobby_level3_dial7,1,0.22,100
hobby_level3_dial7,2,0.133,100
hobby_level3_dial7,3,0.119,100
hobby_level3_dial7,4,0.087,100
hobby_level3_dial7,5,0.118,100
hobby_level3_dial7,6,0.079,100
food_level2_dial8,1,0.015,100
food_level2_dial8,2,0.077,100
food_level2_dial8,3,0.102,100
food_level2_dial8,4,0.148,100
food_level2_dial8,5,0.031,100
food_level2_dial8,6,0.07,100
top25_dial27,1,0.016,100
top25_dial27,2,0.014,100
top25_dial27,3,0.246,100
top25_dial27,4,0.139,100
top25_dial27,5,0.087,100
top25_dial27,6,0.07,100
food_level2_dial9,1,0.334,100
food_level2_dial9,2,0.202,100
food_level2_dial9,3,0.105,100
food_level2_dial9,4,0.094,100
food_level2_dial9,5,0.064,100
food_level2_dial9,6,0.039,100
hobby_level2_dial24,1,0.037,100
hobby_level2_dial24,2,0.487,100
hobby_level2_dial24,3,0.309,100
hobby_level2_dial24,4,0.059,100
hobby_level2_dial24,5,0.095,100
hobby_level2_dial24,6,0.466,100
hobby_level2_dial24,7,0.583,100
hobby_level1_dial3,1,0.142,100
hobby_level1_dial3,2,0.078,100
hobby_level1_dial3,3,0.039,100
hobby_level1_dial3,4,0.048,100
hobby_level1_dial3,5,0.072,100
hobby_level1_dial3,6,0.056,100
food_level1_dial2,1,0.014,100
food_level1_dial2,2,0.025,100
food_level1_dial2,3,0.022,100
food_level1_dial2,4,0.152,100
food_level1_dial2,5,0.006,100
food_level1_dial2,6,0.243,100
food_level1_dial2,7,0.278,100
food_level2_dial19,1,0.156,100
food_level2_dial19,2,0.062,100
food_level2_dial19,3,0.207,100
food_level2_dial19,4,0.027,100
food_level2_dial19,5,0.062,100
food_level2_dial19,6,0.05,100
hobby_level2_dial25,1,0.316,100
hobby_level2_dial25,2,0.236,100
hobby_level2_dial25,3,0.178,100
hobby_level2_dial25,4,0.13,100
hobby_level2_dial25,5,0.024,100
hobby_level2_dial25,6,0.028,100
hobby_level3_dial18,1,0.254,100
hobby_level3_dial18,2,0.524,100
hobby_level3_dial18,3,0.12,100
hobby_level3_dial18,4,0.088,100
hobby_level3_dial18,5,0.224,100
hobby_level3_dial18,6,0.048,100
food_level3_dial37,1,0.013,100
food_level3_dial37,2,0.012,100
food_level3_dial37,3,0.007,100
food_level3_dial37,4,0.017,100
food_level3_dial37,5,0.104,100
food_level3_dial37,6,0.017,100
hobby_level3_dial8,1,0.145,100
hobby_level3_dial8,2,0.202,100
hobby_level3_dial8,3,0.627,100
hobby_level3_dial8,4,0.073,100
hobby_level3_dial8,5,0.523,100
hobby_level3_dial8,6,0.567,100
food_level3_dial38,1,0.113,100
food_level3_dial38,2,0.104,100
food_level3_dial38,3,0.124,100
food_level3_dial38,4,0.071,100
food_level3_dial38,5,0.025,100
food_level3_dial38,6,0.035,100
top25_dial56,1,0.56,100
top25_dial56,2,0.668,100
top25_dial56,3,0.026,100
top25_dial56,4,0.044,100
top25_dial56,5,0.864,100
top25_dial56,6,0.143,100
top25_dial28,1,0.082,100
top25_dial28,2,0.035,100
top25_dial28,3,0.226,100
top25_dial28,4,0.026,100
top25_dial28,5,0.075,100
top25_dial28,6,0.273,100
top25_dial28,7,0.355,100
hobby_level1_dial4,1,0.248,100
hobby_level1_dial4,2,0.134,100
hobby_level1_dial4,3,0.046,100
hobby_level1_dial4,4,0.152,100
hobby_level1_dial4,5,0.371,100
hobby_level1_dial4,6,0.268,100
hobby_level1_dial4,7,0.065,100
hobby_level3_dial9,1,0.128,100
hobby_level3_dial9,2,0.037,100
hobby_level3_dial9,3,0.23,100
hobby_level3_dial19,1,0.097,100
hobby_level3_dial19,2,0.044,100
hobby_level3_dial19,3,0.104,100
hobby_level3_dial19,4,0.039,100
hobby_level3_dial19,5,0.083,100
hobby_level3_dial19,6,0.008,100
hobby_level3_dial19,7,0.059,100
hobby_level2_dial26,1,0.033,100
hobby_level2_dial26,2,0.008,100
hobby_level2_dial26,3,0.022,100
hobby_level2_dial26,4,0.029,100
hobby_level2_dial26,5,0.001,100
hobby_level2_dial26,6,0.024,100
food_level2_dial2,1,0.227,100
food_level2_dial2,2,0.066,100
food_level2_dial2,3,0.087,100
food_level2_dial2,4,0.069,100
food_level2_dial2,5,0.099,100
food_level2_dial2,6,0.065,100
hobby_level2_dial27,1,0.184,100
hobby_level2_dial27,2,0.053,100
hobby_level2_dial27,3,0.031,100
hobby_level2_dial27,4,0.033,100
hobby_level2_dial27,5,0.035,100
hobby_level2_dial27,6,0.027,100
food_level1_dial20,1,0.05,100
food_level1_dial20,2,0.269,100
food_level1_dial20,3,0.037,100
food_level1_dial20,4,0.2,100
food_level1_dial20,5,0.051,100
food_level1_dial20,6,0.048,100
hobby_level3_dial2,1,0.013,100
hobby_level3_dial2,2,0.076,100
hobby_level3_dial2,3,0.182,100
hobby_level3_dial2,4,0.056,100
hobby_level3_dial2,5,0.009,100
hobby_level3_dial2,6,0.017,100
food_level2_dial20,1,0.024,100
food_level2_dial20,2,0.091,100
food_level2_dial20,3,0.056,100
top25_dial29,1,0.02,100
top25_dial29,2,0.032,100
top25_dial29,3,0.078,100
top25_dial29,4,0.15,100
top25_dial29,5,0.101,100
top25_dial29,6,0.014,100
food_level3_dial1,1,0.028,100
food_level3_dial1,2,0.014,100
food_level3_dial1,3,0.027,100
food_level3_dial1,4,0.027,100
food_level3_dial1,5,0.064,100
food_level3_dial1,6,0.074,100
hobby_level3_dial20,1,0.029,100
hobby_level3_dial20,2,0.023,100
hobby_level3_dial20,3,0.038,100
hobby_level3_dial20,4,0.086,100
hobby_level3_dial20,5,0.099,100
hobby_level3_dial20,6,0.033,100
top25_dial57,1,0.128,100
top25_dial57,2,0.112,100
top25_dial57,3,0.032,100
top25_dial57,4,0.022,100
top25_dial57,5,0.014,100
top25_dial57,6,0.077,100
food_level1_dial21,1,0.13,100
food_level1_dial21,2,0.112,100
food_level1_dial21,3,0.127,100
food_level1_dial21,4,0.199,100
food_level1_dial21,5,0.033,100
food_level1_dial21,6,0.103,100
hobby_level2_dial28,1,0.082,100
hobby_level2_dial28,2,0.193,100
hobby_level2_dial28,3,0.026,100
hobby_level2_dial28,4,0.065,100
hobby_level2_dial28,5,0.174,100
hobby_level2_dial28,6,0.018,100
top25_dial3,1,0.148,100
top25_dial3,2,0.175,100
top25_dial3,3,0.214,100
top25_dial3,4,0.047,100
top25_dial3,5,0.051,100
top25_dial3,6,0.034,100
top25_dial3,7,0.022,100
food_level3_dial4,1,0.376,100
food_level3_dial4,2,0.385,100
food_level3_dial4,3,0.306,100
food_level3_dial4,4,0.23,100
food_level3_dial4,5,0.169,100
food_level3_dial4,6,0.213,100
top25_dial1,1,0.335,100
top25_dial1,2,0.654,100
top25_dial1,3,0.353,100
top25_dial1,4,0.116,100
top25_dial1,5,0.039,100
top25_dial1,6,0.133,100
food_level2_dial21,1,0.317,100
food_level2_dial21,2,0.278,100
food_level2_dial21,3,0.255,100
food_level2_dial21,4,0.178,100
food_level2_dial21,5,0.092,100
food_level2_dial21,6,0.082,100
