conv_id,turn_id,entropy,num_retrieved_documents,num_unique_titles
food_level3_dial26,1,0.7449577334063968,100,34
food_level3_dial26,2,0.8723524195281521,100,36
food_level3_dial26,3,0.9158862164625186,100,40
food_level3_dial26,4,0.9609125618780632,100,72
food_level3_dial26,5,0.9243507923047942,100,52
food_level3_dial26,6,0.8860128404053388,100,42
hobby_level1_dial16,1,0.8360479373878944,100,33
hobby_level1_dial16,2,0.9096604736599391,100,40
hobby_level1_dial16,3,0.8366932615512239,100,38
hobby_level1_dial16,4,0.8299105996890592,100,35
hobby_level1_dial16,5,0.9293246709845497,100,62
hobby_level1_dial16,6,0.918855678101221,100,67
top25_dial5,1,0.946354711646845,100,67
top25_dial5,2,0.8509358756480037,100,43
top25_dial5,3,0.8705842435942954,100,47
food_level2_dial36,1,0.8155691262727575,100,65
food_level2_dial36,2,0.9099609494573525,100,78
food_level2_dial36,3,0.775368657464483,100,58
food_level2_dial36,4,0.8661582154613678,100,67
food_level2_dial36,5,0.8676033974870412,100,48
food_level3_dial27,1,0.700703609978641,100,36
food_level3_dial27,2,0.8692777285119356,100,63
food_level3_dial27,3,0.8684752844973481,100,57
food_level3_dial27,4,0.9510504431649877,100,63
food_level3_dial27,5,0.8547944023051519,100,52
food_level3_dial27,6,0.8669545294725874,100,51
food_level2_dial37,1,0.8031727504706638,100,46
food_level2_dial37,2,0.8285545236136476,100,40
food_level2_dial37,3,0.8029602064329737,100,33
food_level2_dial37,4,0.8587884711044929,100,47
food_level2_dial37,5,0.8294151605471752,100,31
food_level2_dial37,6,0.923122802500844,100,70
food_level2_dial12,1,0.8914094635482298,100,42
food_level2_dial12,2,0.7940966309270139,100,19
food_level2_dial12,3,0.8691926694493443,100,39
food_level2_dial12,4,0.8339220772552361,100,31
food_level2_dial12,5,0.8415486159760995,100,21
food_level2_dial12,6,0.7805517689585845,100,33
hobby_level2_dial2,1,0.6509700533321001,100,17
hobby_level2_dial2,2,0.8121095963307144,100,27
hobby_level2_dial2,3,0.9355685572669129,100,56
