conv_id,turn_id,num_unique_titles,num_retrieved_documents
food_level3_dial26,1,34,100
food_level3_dial26,2,36,100
food_level3_dial26,3,40,100
food_level3_dial26,4,72,100
food_level3_dial26,5,52,100
food_level3_dial26,6,42,100
hobby_level1_dial16,1,33,100
hobby_level1_dial16,2,40,100
hobby_level1_dial16,3,38,100
hobby_level1_dial16,4,35,100
hobby_level1_dial16,5,62,100
hobby_level1_dial16,6,67,100
top25_dial5,1,67,100
top25_dial5,2,43,100
top25_dial5,3,47,100
food_level2_dial36,1,65,100
food_level2_dial36,2,78,100
food_level2_dial36,3,58,100
food_level2_dial36,4,67,100
food_level2_dial36,5,48,100
food_level3_dial27,1,36,100
food_level3_dial27,2,63,100
food_level3_dial27,3,57,100
food_level3_dial27,4,63,100
food_level3_dial27,5,52,100
food_level3_dial27,6,51,100
food_level2_dial37,1,46,100
food_level2_dial37,2,40,100
food_level2_dial37,3,33,100
food_level2_dial37,4,47,100
food_level2_dial37,5,31,100
food_level2_dial37,6,70,100
food_level2_dial12,1,42,100
food_level2_dial12,2,19,100
food_level2_dial12,3,39,100
food_level2_dial12,4,31,100
food_level2_dial12,5,21,100
food_level2_dial12,6,33,100
hobby_level2_dial2,1,17,100
hobby_level2_dial2,2,27,100
hobby_level2_dial2,3,56,100
hobby_level2_dial2,4,25,100
hobby_level2_dial2,5,42,100
hobby_level2_dial2,6,34,100
hobby_level3_dial33,1,79,100
hobby_level3_dial33,2,16,100
hobby_level3_dial33,3,32,100
hobby_level3_dial33,4,67,100
hobby_level3_dial33,5,32,100
hobby_level3_dial33,6,74,100
food_level1_dial1,1,43,100
food_level1_dial1,2,18,100
hobby_level1_dial17,1,34,100
hobby_level1_dial17,2,36,100
hobby_level1_dial17,3,34,100
hobby_level1_dial17,4,47,100
hobby_level1_dial17,5,57,100
hobby_level1_dial17,6,51,100
top25_dial23,1,44,100
top25_dial23,2,34,100
top25_dial23,3,38,100
top25_dial23,4,51,100
top25_dial23,5,34,100
top25_dial23,6,58,100
food_level3_dial28,1,90,100
food_level3_dial28,2,44,100
food_level3_dial28,3,64,100
food_level3_dial28,4,64,100
food_level3_dial28,5,53,100
food_level3_dial28,6,63,100
hobby_level2_dial20,1,32,100
hobby_level2_dial20,2,42,100
hobby_level2_dial20,3,36,100
hobby_level2_dial20,4,49,100
hobby_level2_dial20,5,41,100
hobby_level2_dial20,6,37,100
top25_dial50,1,66,100
top25_dial50,2,46,100
top25_dial50,3,33,100
top25_dial50,4,50,100
top25_dial50,5,83,100
top25_dial50,6,6,100
hobby_level3_dial34,1,37,100
hobby_level3_dial34,2,42,100
hobby_level3_dial34,3,31,100
hobby_level3_dial34,4,36,100
hobby_level3_dial34,5,54,100
hobby_level3_dial34,6,90,100
food_level1_dial10,1,25,100
food_level1_dial10,2,29,100
food_level1_dial10,3,36,100
food_level1_dial10,4,50,100
food_level1_dial10,5,57,100
food_level1_dial10,6,49,100
food_level2_dial38,1,30,100
food_level2_dial38,2,46,100
food_level2_dial38,3,42,100
food_level2_dial38,4,55,100
food_level2_dial38,5,39,100
food_level2_dial38,6,66,100
food_level2_dial38,7,71,100
top25_dial24,1,67,100
top25_dial24,2,72,100
top25_dial24,3,60,100
top25_dial24,4,39,100
top25_dial24,5,70,100
top25_dial24,6,62,100
food_level3_dial29,1,41,100
food_level3_dial29,2,32,100
food_level3_dial29,3,35,100
food_level3_dial29,4,36,100
food_level3_dial29,5,33,100
food_level3_dial29,6,62,100
hobby_level2_dial9,1,18,100
hobby_level2_dial9,2,33,100
hobby_level2_dial9,3,11,100
hobby_level2_dial9,4,58,100
hobby_level2_dial9,5,27,100
top25_dial51,1,51,100
top25_dial51,2,55,100
top25_dial51,3,32,100
top25_dial51,4,89,100
top25_dial51,5,63,100
top25_dial51,6,57,100
hobby_level3_dial35,1,35,100
hobby_level3_dial35,2,78,100
hobby_level3_dial35,3,65,100
hobby_level3_dial35,4,73,100
hobby_level3_dial35,5,58,100
hobby_level3_dial35,6,40,100
hobby_level3_dial35,7,68,100
food_level1_dial11,1,56,100
food_level1_dial11,2,44,100
food_level1_dial11,3,34,100
food_level1_dial11,4,50,100
food_level1_dial11,5,29,100
food_level1_dial11,6,65,100
hobby_level2_dial21,1,50,100
hobby_level2_dial21,2,57,100
hobby_level2_dial21,3,38,100
hobby_level2_dial21,4,82,100
food_level2_dial4,1,40,100
food_level2_dial4,2,41,100
food_level2_dial4,3,33,100
food_level2_dial4,4,42,100
food_level2_dial4,5,57,100
food_level2_dial4,6,29,100
hobby_level3_dial1,1,64,100
hobby_level3_dial1,2,58,100
hobby_level3_dial1,3,28,100
hobby_level3_dial1,4,56,100
hobby_level3_dial1,5,27,100
hobby_level3_dial1,6,57,100
hobby_level1_dial18,1,31,100
hobby_level1_dial18,2,37,100
hobby_level1_dial18,3,27,100
hobby_level1_dial18,4,58,100
hobby_level1_dial18,5,48,100
hobby_level1_dial18,6,82,100
food_level1_dial12,1,55,100
food_level1_dial12,2,36,100
food_level1_dial12,3,35,100
food_level1_dial12,4,34,100
food_level1_dial12,5,41,100
food_level1_dial12,6,38,100
top25_dial52,1,97,100
top25_dial52,2,89,100
hobby_level3_dial36,1,38,100
hobby_level3_dial36,2,38,100
hobby_level3_dial36,3,51,100
food_level3_dial3,1,24,100
food_level3_dial3,2,34,100
food_level3_dial3,3,43,100
food_level3_dial3,4,38,100
food_level3_dial3,5,23,100
food_level3_dial3,6,28,100
hobby_level2_dial22,1,67,100
hobby_level2_dial22,2,76,100
hobby_level2_dial22,3,54,100
hobby_level2_dial22,4,79,100
hobby_level2_dial22,5,55,100
hobby_level2_dial22,6,72,100
food_level2_dial5,1,29,100
food_level2_dial5,2,45,100
food_level2_dial5,3,40,100
